簡碼
====

頭	尾	a	b	c	d	e	f	g	h	i	j	k	l	m	n	o	p	q	r	s	t	u	v	w	x	y	z
a		間	明	題	得	最	顯	量	阿	挨	早	握	即	旦	門	閃	易	時	問	聞	開	歐	關	冒		影	易
b		把	受	具	爭	比	然	雞	財	多	軍	敗	腳	且	則	部	胞	用	同	助	體	目	農	腦		丹	勝
c		曾	錦	貧	業	錄	鎖	鐵	鑽	公	針	交	卻	產	弟	八	總	舉	谷	分	錯	說	銀	留		鐘	鍵
d		打	相	橫	林	地	標	種	才	寸	末	模	束	本	刺	到	想	村	格	榜	來	概	根	東		校	整
e		白	清	演	深	沒	源	法	活	治	準	激	濟	江	灣	漢	混	洋	各	匯	溫	流	派	海		冬	泛
f		花	精	類	米	非	黨	煙	少	螢	輝	尖	常	光	判	歡	炮	半	尚	粉	粒	夫	榮	當		料	省
g		加	再	增	未	機	熱	堆	場	去	聲	埃	都	坦	倒	告	志	封	吉	城	喜	故	越	賣		均	走
h	，	夏	稱	與	氣	起	秋	重	第	風	千	笑	所	行	利	何	物	等	向	戶	升	兒	很	自		科	從
i	我	良	能	廣	求	度	為	社	參	麼	庫	救	神	或	現	次	感	專	台	成	禮	視	威	福		應	戈
j		者	直	真	案	支	寫	室	穿	資	車	教	事	空	字	做	它	守	古	考	南	七	轉	富		較	定
k		家	有	賀	殺	其	灰	在	獨	太	帶	疾	布	左	九	高	老	奪	右	力	奇	顧	狠	奮		頭	知
l		啦	巾	貴	被	裡	螞	書	版	李	牌	史	串	畫	鬥	勞	北	筆	裕	初	盡	電	數	由		排	片
m		嗎	而	西	厚	美	原	王	百	式	干	天	工	二	列	毛	死	耐	石	功	亞	元	要	面		下	政
n	不	那	角	小	子	及	魚	五	免	強	陣	又	建	發	陽	怒	急	解	可	務	飛	色	張	陳		外	弓
o		會	內	領	條	雙	無	全	奧	愛	傳	使	命	但	安	入	化	年	合	作	位	仙	食	個		信	企
p		怕	情	懶	穎	皮	懷	惟	必	勾	平	快	印	性	怪	報	皆	憐	句	切	世	包	忙	甸		勻	疑
q		春	青	責	探	投	素	推	先	找	揮	拔	折	生	制	據	指	奉	招	拒	拉	規	表	看		接	提
r		吧	員	只	味	吸	鳴	雖	呀	戰	單	器	叫	唔	別	吹	民	跌	路	另	咁	吃	跟	囉		號	足
s	的	沙	騙	實	破	取	馬	確	刀	師	耳	改	聯	刁	刷	蘇	聽	尋	區	巨	展	已	長	醫		職	司
t	。	他	期	共	某	樣	驚	難	形	義	華	英	斯	差	前	圖	恭	對	若	芳	普	觀	甚	首		警	芝
u		「	」	（	）	“	”	《	》	【	】	屋	！	們	學	、	匕	？	岩	；	豐	出	幽	覺		：	『
v		婚	姐	妳	樂	雨	媽	壯	妙	幾	妹	收	斷	姓	好	以	戀	將	如	幼	媒	完	裝	牆		她	後
w	了	話	胃	四	果	we	黑	理	見	母	田	因	甲	置	野	和	思	團	回	男	曲	胡	眼	國		點	買
x	、	縮	組	紛	練	級	絲	結	線	約	緒	變	鄉	紅	彎	維	紙	紂	給	絕	編	統	網	細		終	經
y	是	也	請	六	新	夜	就	主	竟	議	計	文	市	上	處	你	意	討	言	方	立	於	亡	課		卡	卜
z	之	退	過	選	速	返	迷	遠	步	歲	連	送	近	些	通	進	此	達	造	邊	道	導	還	遇		這	止
註: hkg=香港 nts=新界 pcc=電腦 we=我們 
