簡碼
====

頭	尾	a	b	c	d	e	f	g	h	i	j	k	l	m	n	o	p	q	r	s	t	u	v	w	x	y	z
a		昌	明	題		最	顯	量	阿	唉	早	握	即	旦	門	閃	鴨	時	問	聞	開	歐	關	冒		影	得
b		把	朋	貝	采	受	然	肚	彩	多	軍	央	腳	且	則	部	胞	用	同	助	冊	目	妥	腦		丹	體
c		曾	鈅	貧	業	錄	鈥	鐵	鑽	公	針	父	丫	釭	弟	八	鈊	鍵	卻	分	錯	說	銀	鈿		鐘	交
d		打	相	橫	林	皮	杰	杜	才	寸	末	校	束	本	李	到	想	村	杏	榜	來	札	根	東		朴	機
e		汨	清	淦	沐	沒	源	法	沙	叉	汁	激	沖	江	灣	漢	沁	對	各	匯	洋	流	汝	淚		冬	演
f		花	肖	類	米	叛	炎	灶	少	螢	輝	尖	常	光	判	家	炮	半	尚	炸	粒	苦	五	當		料	黨
g		加	再	增	未	報	熱	圭	場	去	聲	埃	都	坦	到	高	志	寺	吉	城	喜	起	越	賣		地	走
h	，	夏	向	與	禾	反	秋	重	第	風	千	笑	所	行	利	可	物	牛	和	戶	升	兒	很	自		科	乏
i	我	良	能	廣	床	冰	為	社	戊	麼	戎	犬	神	或	資	次	感	專	台	成	戒	視	威	福		祂	戈
j		炸	直	真	宋	支	寫	室	穿	資	車	教	事	士	字	做	它	守	古	考	卉	七	安	富		較	定
k		卡	有	賀	殺	友	灰	在	獨	太	帶	爻	布	左	九	高	老	奪	右	力	奇	故	狠	奮		頭	知
l		啦	巾	貴	蝶	被	螞	裡	版	虫	牌	史	串	虹	鬥	老	忠	聿	裕	初	盡	儿	數	由		非	片
m		嗎	而	西	于	汞	原	王	元	式	干	天	工	二	丁	毛	死	耐	石	功	亞	電	要	面		下	正
n	不	那	角	小	子	及	魚	丑	免	夕	陣	又	引	發	了	腦	急	解	可	乃	飛	乙	張	陳		外	弓
o		會	內	他	休	雙	伙	全	奧	愛	什	使	仲	何	乞	入	化	年	合	作	無	仙	食	個		信	企
p		怕	情	懶	也	慢	憐	懂	必	勾	平	快	忡	性	乜	普	比	忖	句	切	世	屯	忙	甸		勻	疑
q		春	青	扒	朱	投	素	推	先	找	丰	拔	排	生	打	夫	指	奉	扣	拒	拉	扎	表	看		扑	提
r		吧	員	只	呆	吸	嗎	吐	呀	戰	單	唉	叫	曰	別	吹	民	吋	路	另	啦	巳	跟	囉		號	足
s	的	沙	騙	匹	碟	取	馬	確	刀	是	耳	改	那	刁	刷	數	尼	尋	加	巨	聯	已	長	醫		於	尸
t	。	他	期	共	某	樣	驚	難	首	義	華	美	斯	甘	前	土	芯	羊	若	勒	并	廿	甚	苗		警	芝
u		「	」	（	）	“	”	《	》	【	】	凶	！	們	學	、	匕	？	岩	；	豐	出	幽	覺		：	『
v		婚	姐	妳	樂	奴	媽	壯	妙	幾	妹	收	斷	姓	好	以	戀	將	如	幼	媒	奾	妝	牆		她	後
w	了	話	胃	四	果	we	黑	里	見	母	田	因	甲	置	野	和	思	團	回	男	曲	護	囡	國		點	買
x	、	縮	組	紛	練	級	絲	結	線	約	緒	變	║	紅	紐	維	總	紂	給	絕	編	統	網	細		終	經
y	是	也	請	六	新	夜	就	主	竟	議	章	文	市	上	處	你	意	討	言	方	立	如	亡	課		卞	卜
z	之	退	肯	選	速	返	迷	遠	步	歲	連	送	近	些	通	進	此	過	造	邊	道	導	還	遇		這	止
註: hkg=香港 pcc=電腦 wee=我們 
