ch,rank
的,0001
一,0002
是,0003
在,0004
不,0005
了,0006
有,0007
和,0008
人,0009
這,0010
中,0011
大,0012
為,0013
上,0014
個,0015
國,0016
我,0017
以,0018
要,0019
地,0020
他,0021
時,0022
來,0023
用,0024
們,0025
生,0026
到,0027
作,0028
出,0029
就,0030
分,0031
於,0032
對,0033
成,0034
會,0035
可,0036
主,0037
發,0038
年,0039
動,0040
同,0041
工,0042
也,0043
能,0044
下,0045
過,0046
子,0047
說,0048
產,0049
種,0050
行,0051
而,0052
方,0053
面,0054
後,0055
多,0056
定,0057
學,0058
法,0059
所,0060
民,0061
得,0062
經,0063
十,0064
三,0065
之,0066
進,0067
等,0068
部,0069
度,0070
家,0071
電,0072
力,0073
如,0074
水,0075
化,0076
高,0077
都,0078
自,0079
二,0080
理,0081
起,0082
小,0083
長,0084
物,0085
現,0086
實,0087
加,0088
量,0089
兩,0090
體,0091
機,0092
還,0093
當,0094
使,0095
點,0096
從,0097
業,0098
本,0099
重,0100
去,0101
把,0102
性,0103
好,0104
應,0105
開,0106
它,0107
合,0108
因,0109
制,0110
由,0111
其,0112
些,0113
然,0114
前,0115
外,0116
天,0117
政,0118
四,0119
日,0120
那,0121
社,0122
義,0123
事,0124
平,0125
形,0126
相,0127
全,0128
裏,0129
間,0130
樣,0131
表,0132
與,0133
關,0134
各,0135
新,0136
線,0137
內,0138
數,0139
正,0140
心,0141
反,0142
你,0143
明,0144
看,0145
原,0146
又,0147
麼,0148
利,0149
比,0150
或,0151
但,0152
質,0153
氣,0154
第,0155
向,0156
道,0157
命,0158
此,0159
沒,0160
變,0161
條,0162
只,0163
結,0164
解,0165
問,0166
意,0167
建,0168
月,0169
公,0170
無,0171
軍,0172
很,0173
情,0174
者,0175
最,0176
立,0177
代,0178
想,0179
已,0180
通,0181
提,0182
直,0183
題,0184
黨,0185
程,0186
展,0187
五,0188
果,0189
料,0190
象,0191
員,0192
革,0193
位,0194
入,0195
常,0196
文,0197
總,0198
次,0199
品,0200
式,0201
活,0202
設,0203
及,0204
管,0205
特,0206
件,0207
求,0208
老,0209
頭,0210
基,0211
資,0212
邊,0213
流,0214
路,0215
級,0216
少,0217
圖,0218
山,0219
統,0220
接,0221
知,0222
較,0223
將,0224
組,0225
見,0226
計,0227
別,0228
她,0229
手,0230
角,0231
期,0232
根,0233
論,0234
運,0235
農,0236
指,0237
幾,0238
九,0239
區,1240
強,0241
放,0242
決,0243
西,0244
被,0245
做,0246
必,0247
戰,0248
先,0249
則,0250
任,0251
取,0252
據,0253
回,0254
給,0255
調,0256
處,0257
隊,0258
南,0259
色,0260
光,0261
門,0262
即,0263
保,0264
治,0265
北,0266
造,0267
百,0268
規,0269
熱,0270
領,0271
七,0272
海,0273
口,0274
東,0275
導,0276
器,0277
壓,0278
世,0279
金,0280
增,0281
爭,0282
濟,0283
階,0284
油,0285
思,0286
術,0287
極,0288
交,0289
受,0290
幹,0291
聯,0292
認,0293
六,0294
共,0295
權,0296
收,0297
證,0298
改,0299
清,0300
志,0301
己,0302
美,0303
再,0304
轉,0305
更,0306
單,0307
風,0308
切,0309
打,0310
白,0311
教,0312
速,0313
花,0314
帶,0315
安,0316
場,0317
身,0318
車,0319
例,0320
真,0321
務,0322
具,0323
萬,0324
每,0325
目,0326
至,0327
達,0328
走,0329
積,0330
示,0331
議,0332
聲,0333
報,0334
鬥,0335
完,0336
類,0337
八,0338
離,0339
華,0340
名,0341
確,0342
科,0343
傳,0344
張,0345
才,0346
信,0347
馬,0348
節,0349
話,0350
米,0351
採,0352
整,0353
空,0354
元,0355
況,0356
今,0357
集,0358
溫,0359
土,0360
許,0361
步,0362
群,0363
石,0364
廣,0365
且,0366
記,0367
需,0368
段,0369
研,0370
界,0371
拉,0372
林,0373
律,0374
叫,0375
究,0376
觀,0377
越,0378
織,0379
裝,0380
影,0381
算,0382
低,0383
持,0384
音,0385
眾,0386
系,0387
書,0388
容,0389
兒,0390
際,0391
商,0392
非,0393
驗,0394
連,0395
斷,0396
率,0397
深,0398
難,0399
近,0400
須,0401
礦,0402
千,0403
省,0404
委,0405
素,0406
技,0407
備,0408
半,0409
辦,0410
青,0411
列,0412
習,0413
便,0414
響,0415
約,0416
支,0417
般,0418
史,0419
感,0420
勞,0421
團,0422
往,0423
酸,0424
稱,0425
市,0426
克,0427
何,0428
除,0429
消,0430
構,0431
府,0432
甚,0433
太,0434
精,0435
歷,0436
值,0437
係,0438
周,0439
什,0440
號,0441
族,0442
維,0443
劃,0444
選,0445
標,0446
寫,0447
存,0448
候,0449
親,0450
毛,0451
快,0452
查,0453
效,0454
斯,0455
院,0456
江,0457
型,0458
眼,0459
王,0460
按,0461
格,0462
養,0463
易,0464
置,0465
派,0466
層,0467
片,0468
始,0469
卻,0470
專,0471
狀,0472
育,0473
廠,0474
京,0475
識,0476
適,0477
參,0478
屬,0479
圓,0480
包,0481
火,0482
住,0483
滿,0484
縣,0485
局,0486
照,0487
準,0488
紅,0489
輕,0490
引,0491
細,0492
聽,0493
該,0494
鐵,0495
價,0496
嚴,0497
底,0498
首,0499
液,0500
官,0501
德,0502
隨,0503
病,0504
失,0505
爾,0506
死,0507
講,0508
呢,0509
蘇,0510
配,0511
女,0512
黃,0513
推,0514
顯,0515
談,0516
罪,0517
神,0518
藝,0519
席,0520
含,0521
企,0522
望,0523
密,0524
批,0525
營,0526
項,0527
防,0528
舉,0529
球,0530
英,0531
氧,0532
勢,0533
告,0534
李,0535
落,0536
布,0537
木,0538
幫,0539
輪,0540
破,0541
亞,0542
朝,0543
師,0544
圍,0545
遠,0546
字,0547
材,0548
注,0549
排,0550
供,0551
河,0552
態,0553
封,0554
另,0555
復,0556
施,0557
減,0558
樹,0559
溶,0560
怎,0561
止,0562
案,0563
台,0564
言,0565
士,0566
均,0567
武,0568
固,0569
葉,0570
魚,0571
波,0572
視,0573
僅,0574
差,0575
費,0576
降,0577
緊,0578
愛,0579
左,0580
章,0581
早,0582
害,0583
續,0584
服,0585
食,0586
試,0587
充,0588
兵,0589
源,0590
判,0591
似,0592
司,0593
護,0594
足,0595
某,0596
練,0597
略,0598
田,0599
黑,0600
犯,0601
負,0602
擊,0603
繼,0604
興,0605
堅,0606
輸,0607
曲,0608
修,0609
故,0610
城,0611
覺,0612
夫,0613
夠,0614
送,0615
笑,0616
船,0617
右,0618
財,0619
吃,0620
富,0621
春,0622
職,0623
漢,0624
畫,0625
功,0626
巴,0627
裡,0628
跟,0629
雖,0630
雜,0631
板,0632
飛,0633
佔,0634
曾,0635
樂,0636
致,0637
檢,0638
吸,0639
里,0640
助,0641
陽,0642
互,0643
初,0644
創,0645
抗,0646
考,0647
投,0648
壞,0649
策,0650
古,0651
徑,0652
換,0653
未,0654
跑,0655
留,0656
鋼,0657
端,0658
責,0659
站,0660
簡,0661
升,0662
述,0663
錢,0664
副,0665
盡,0666
帝,0667
射,0668
草,0669
範,0670
承,0671
獨,0672
令,0673
限,0674
阿,0675
宣,0676
環,0677
雙,0678
請,0679
超,0680
微,0681
讓,0682
控,0683
州,0684
良,0685
軸,0686
找,0687
否,0688
紀,0689
益,0690
依,0691
優,0692
頂,0693
礎,0694
載,0695
倒,0696
房,0697
突,0698
坐,0699
粉,0700
敵,0701
客,0702
袁,0703
冷,0704
勝,0705
絕,0706
析,0707
塊,0708
劑,0709
測,0710
絲,0711
協,0712
訴,0713
陳,0714
仍,0715
羅,0716
餘,0717
鹽,0718
友,0719
洋,0720
錯,0721
苦,0722
夜,0723
刑,0724
移,0725
模,0726
頻,0727
念,0728
逐,0729
靠,0730
混,0731
母,0732
短,0733
皮,0734
終,0735
聚,0736
汽,0737
村,0738
哪,0739
既,0740
衛,0741
距,0742
校,0743
停,0744
烈,0745
央,0746
察,0747
燒,0748
迅,0749
境,0750
若,0751
印,0752
洲,0753
刻,0754
括,0755
激,0756
孔,0757
搞,0758
室,0759
待,0760
核,0761
散,0762
侵,0763
吧,0764
甲,0765
久,0766
菜,0767
