pin d  ch rank
ax     Ａ 7081
ah     啊 0800
ah     呀 0957
ah     鴉 2140
ah     丫 3110
ah     椏 5140
ah     錒 5184
ah     吖 7073
ah  2  啞 2657
ah  2  嗄 5207
ah  3  阿 0675
ah  3  氬 3310
ah  3  婭 5413
ah  3  埡 5717
ih     埃 1413
ih     唉 2231
ih     哎 2312
ih     娭 6623
ih  2  欸 6721
ih  3  隘 3025
ih  3  嗌 5036
ac     握 0858
ac     扼 2750
ac     厄 3066
ac     呃 3474
ac     軛 3704
ac     齷 5029
am  2  菡 3748
ang    罌 6195
ang    甖 7079
ad     揠 6683
ad     閼 7000
ad  3  押 2089
ad  3  恝 3659
ad  3  遏 3664
ad  3  戛 5222
ao     坳 3657
ao  3  拗 4170
ao  3  靿 7010
ai  3  縊 4066
ai  3  曀 6123
ai  3  翳 6197
uk     屋 0950
uk     渥 2665
uk     喔 4438
uk     幄 5729
uk     偓 7075
um     庵 2925
um     菴 3920
um     鵪 4229
um     諳 5094
um     盦 6176
um     垵 6612
um  2  黯 3860
um  2  闇 5278
um  2  晻 5905
ang    罃 3988
ang    鶯 4255
ang    嚶 4514
ang 2  哽 4105
at     扤 6675
at  6  兀 3996
au     漚 4005
au     鷗 4323
au     甌 4456
au     謳 4566
au     慪 6112
au  2  毆 3372
au  2  嘔 3519
bx     Ｂ 7097
ba     巴 0627
ba     吧 0764
ba     爸 1108
ba     叭 2597
ba     疤 3768
ba     芭 3813
ba     笆 4216
ba     鈀 4804
ba     葩 5806
ba     峇 6638
ba     豝 6954
ba  2  把 0102
ba  2  靶 2988
ba  3  霸 1635
ba  3  壩 2060
ba  3  灞 5933
ba  6  罷 1409
bi     掰 4353
bi  2  擺 1076
bi  2  捭 6115
bi  3  拜 1738
bi  3  湃 3588
bi  6  敗 1193
bi  6  憊 4034
bi  6  唄 4233
bi  6  稗 4861
bak 3  百 0268
bak 3  伯 0849
bak 3  舶 2125
bak 3  佰 5864
bak 6  白 0311
bak 6  蔔 3255
bak 6  帛 3825
bak 6  匐 4549
bak 6  僰 6297
bak 6  菔 6472
bak 6  踣 6512
ban    班 0851
ban    斑 1933
ban    頒 2127
ban    瘢 4606
ban 2  板 0632
ban 2  版 1220
ban 2  闆 1970
ban 2  爿 5242
ban 2  鈑 5839
ban 2  舨 6466
ban 2  蝂 6921
ban 2  阪 7082
ban 6  辦 0410
ban 6  扮 2485
ban 6  湴 6392
bag 4  嘭 7391
bag 6  蹦 3489
bad 3  八 0338
bad 3  捌 6677
bao    包 0481
bao    胞 0936
bao    孢 2426
bao    鮑 3065
bao    苞 3530
bao    齙 7071
bao 2  飽 1424
bao 3  爆 1269
bai    跛 5511
bai 3  閉 1202
bai 3  蔽 2254
bai 3  箅 4309
bai 3  贔 6508
bai 6  幣 1304
bai 6  弊 2415
bai 6  陛 2882
bai 6  斃 2919
bai 6  敝 4401
bai 6  梐 5912
bai 6  狴 5938
bai 6  薜 6903
bac    北 0266
bum    泵 1347
bum    乓 7402
bun    奔 1478
bun    賓 1608
bun    濱 2018
bun    斌 3087
bun    彬 3477
bun    瀕 3642
bun    繽 3890
bun    檳 4358
bun    賁 5267
bun    豳 5507
bun    邠 6247
bun    錛 6261
bun    玢 7165
bun 2  品 0200
bun 2  稟 3236
bun 3  殯 3526
bun 3  鬢 3800
bun 3  嬪 5132
bun 3  擯 5225
