ch,rank,yyutping
Ａ,7081,ax
啊,0800,aa,1
呀,0957,aa,1
鴉,2140,aa,1
丫,3110,aa,1
椏,5140,aa,1
錒,5184,aa,1
吖,7073,aa,1
啞,2657,aa,2
嗄,5207,aa,2
阿,0675,aa,3
氬,3310,aa,3
婭,5413,aa,3
埡,5717,aa,3
埃,1413,aai,1
唉,2231,aai,1
哎,2312,aai,1
娭,6623,aai,1
欸,6721,aai,2
隘,3025,aai,3
嗌,5036,aai,3
握,0858,aak,1
扼,2750,aak,1
厄,3066,aak,1
呃,3474,aak,1
軛,3704,aak,1
齷,5029,aak,1
菡,3748,aam,2
罌,6195,aang,1
甖,7079,aang,1
揠,6683,aat,1
閼,7000,aat,1
押,2089,aat,3
恝,3659,aat,3
遏,3664,aat,3
戛,5222,aat,3
坳,3657,aau,1
拗,4170,aau,3
靿,7010,aau,3
縊,4066,ai,3
曀,6123,ai,3
翳,6197,ai,3
渥,2665,ak,1
喔,4438,ak,1
幄,5729,ak,1
偓,7075,ak,1
庵,2925,am,1
菴,3920,am,1
鵪,4229,am,1
諳,5094,am,1
盦,6176,am,1
垵,6612,am,1
黯,3860,am,2
闇,5278,am,2
晻,5905,am,2
罃,3988,ang,1
鶯,4255,ang,1
嚶,4514,ang,1
哽,4105,ang,2
扤,6675,at,1
漚,4005,au,1
鷗,4323,au,1
甌,4456,au,1
謳,4566,au,1
慪,6112,au,1
毆,3372,au,2
嘔,3519,au,2
Ｂ,7097,bx
巴,0627,baa,1
吧,0764,baa,1
爸,1108,baa,1
叭,2597,baa,1
疤,3768,baa,1
芭,3813,baa,1
笆,4216,baa,1
鈀,4804,baa,1
葩,5806,baa,1
峇,6638,baa,1
豝,6954,baa,1
把,0102,baa,2
靶,2988,baa,2
霸,1635,baa,3
壩,2060,baa,3
灞,5933,baa,3
罷,1409,baa,6
掰,4353,baai,1
擺,1076,baai,2
捭,6115,baai,2
拜,1738,baai,3
湃,3588,baai,3
敗,1193,baai,6
憊,4034,baai,6
唄,4233,baai,6
稗,4861,baai,6
百,0268,baak,3
伯,0849,baak,3
舶,2125,baak,3
佰,5864,baak,3
白,0311,baak,6
蔔,3255,baak,6
帛,3825,baak,6
匐,4549,baak,6
僰,6297,baak,6
菔,6472,baak,6
踣,6512,baak,6
班,0851,baan,1
斑,1933,baan,1
頒,2127,baan,1
瘢,4606,baan,1
板,0632,baan,2
版,1220,baan,2
闆,1970,baan,2
爿,5242,baan,2
鈑,5839,baan,2
舨,6466,baan,2
蝂,6921,baan,2
阪,7082,baan,2
辦,0410,baan,6
扮,2485,baan,6
湴,6392,baan,6
嘭,7391,baang,4
蹦,3489,baang,6
八,0338,baat,3
捌,6677,baat,3
包,0481,baau,1
胞,0936,baau,1
孢,2426,baau,1
鮑,3065,baau,1
苞,3530,baau,1
齙,7071,baau,1
飽,1424,baau,2
爆,1269,baau,3
跛,5511,bai,1
閉,1202,bai,3
蔽,2254,bai,3
箅,4309,bai,3
贔,6508,bai,3
幣,1304,bai,6
弊,2415,bai,6
陛,2882,bai,6
斃,2919,bai,6
敝,4401,bai,6
梐,5912,bai,6
狴,5938,bai,6
薜,6903,bai,6
北,0266,bak,1
泵,1347,bam,1
乓,7402,bam,1
奔,1478,ban,1
賓,1608,ban,1
濱,2018,ban,1
斌,3087,ban,1
彬,3477,ban,1
瀕,3642,ban,1
繽,3890,ban,1
檳,4358,ban,1
賁,5267,ban,1
豳,5507,ban,1
邠,6247,ban,1
錛,6261,ban,1
玢,7165,ban,1
品,0200,ban,2
稟,3236,ban,2
殯,3526,ban,3
鬢,3800,ban,3
嬪,5132,ban,3
擯,5225,ban,3
臏,5650,ban,3
坌,6089,ban,3
儐,7094,ban,3
髕,7095,ban,3
坋,7161,ban,3
笨,2789,ban,6
崩,2217,bang,1
繃,2928,bang,1
弸,6657,bang,1
甭,3725,bang,2
不,0005,bat,1
筆,0917,bat,1
畢,1310,bat,1
嗶,3668,bat,1
潷,4334,bat,1
蓽,5362,bat,1
篳,5637,bat,1
蹕,6239,bat,1
拔,1466,bat,6
泌,2664,bat,6
跋,3256,bat,6
弼,3696,bat,6
鈸,5273,bat,6
苾,6468,bat,6
啤,3212,be,1
悲,1523,bei,1
碑,2279,bei,1
卑,2356,bei,1
陂,4253,bei,1
蓖,4617,bei,1
篦,4730,bei,1
裨,4736,bei,1
椑,5587,bei,1
庳,6653,bei,1
羆,6855,bei,1
詖,6947,bei,1
比,0150,bei,2
彼,1647,bei,2
俾,3753,bei,2
匕,3820,bei,2
沘,4269,bei,2
秕,4560,bei,2
媲,4586,bei,2
髀,5107,bei,2
畀,5947,bei,2
妣,6324,bei,2
䠋,7396,bei,2
秘,1296,bei,3
臂,1564,bei,3
庇,3179,bei,3
痺,4668,bei,3
鉍,4805,bei,3
毖,4987,bei,3
轡,6015,bei,3
祕,7085,bei,3
被,0245,bei,6
備,0408,bei,6
避,1109,bei,6
鼻,1853,bei,6
鞁,4627,bei,6
糒,6451,bei,6
奰,6618,bei,6
髲,7033,bei,6
餅,1940,beng,2
柄,1998,beng,3
病,0504,beng,6
迫,0854,bik,1
壁,1139,bik,1
碧,1517,bik,1
逼,1721,bik,1
愊,5221,bik,1
愎,5891,bik,1
襞,6222,bik,1
皕,6797,bik,1
璧,7087,bik,1
邊,0213,bin,1
鞭,2331,bin,1
辮,2751,bin,1
煸,3845,bin,1
蝙,4428,bin,1
砭,5956,bin,1
胼,6201,bin,1
扁,2516,bin,2
貶,2837,bin,2
匾,3754,bin,2
褊,5812,bin,2
變,0161,bin,3
便,0414,bin,6
辯,1245,bin,6
辨,2044,bin,6
弁,3862,bin,6
汴,4453,bin,6
卞,5405,bin,6
抃,5575,bin,6
忭,6346,bin,6
兵,0589,bing,1
冰,1291,bing,1
乒,2676,bing,1
栟,6707,bing,1
丙,1591,bing,2
炳,2242,bing,2
秉,2592,bing,2
摒,4481,bing,2
邴,6248,bing,2
昺,7086,bing,2
併,3228,bing,3
迸,3652,bing,3
並,1206,bing,6
并,2444,bing,6
必,0247,bit,1
珌,5457,bit,1
憋,3671,bit,3
鱉,4577,bit,3
彆,7088,bit,3
別,0228,bit,6
癟,3942,bit,6
蹩,4430,bit,6
標,0446,biu,1
彪,1247,biu,1
錶,2223,biu,1
瀌,4304,biu,1
膘,4339,biu,1
鏢,4684,biu,1
鑣,6266,biu,1
瘭,6430,biu,1
飆,7089,biu,1
表,0132,biu,2
裱,4096,biu,2
俵,4959,biu,2
婊,5878,biu,2
波,0572,bo,1
玻,1196,bo,1
坡,1284,bo,1
菠,3531,bo,1
啵,5549,bo,1
嶓,5567,bo,1
簸,3711,bo,2
播,1009,bo,3
鄱,4344,bo,3
噃,7091,bo,3
博,1511,bok,3
駁,2034,bok,3
縛,2362,bok,3
搏,2705,bok,3
膊,2936,bok,3
礡,4608,bok,3
亳,4695,bok,3
鎛,6263,bok,3
嶨,6645,bok,3
襮,6941,bok,3
壆,7090,bok,3
薄,0892,bok,6
雹,2900,bok,6
鉑,3304,bok,6
箔,3872,bok,6
濼,6150,bok,6
幫,0539,bong,1
邦,1396,bong,1
梆,3136,bong,1
膀,2297,bong,2
榜,2407,bong,2
綁,2681,bong,2
鎊,3108,bong,2
傍,2807,bong,6
磅,3072,bong,6
哺,3342,bou,1
褒,4017,bou,1
餔,4473,bou,1
逋,5018,bou,1
煲,5152,bou,1
晡,6694,bou,1
保,0264,bou,2
補,0895,bou,2
寶,1163,bou,2
堡,1994,bou,2
葆,3855,bou,2
鴇,4134,bou,2
褓,5093,bou,2
孬,5414,bou,2
鵏,6573,bou,2
報,0334,bou,3
布,0537,bou,3
佈,0836,bou,3
埔,1354,bou,3
怖,2714,bou,3
鈽,5021,bou,3
部,0069,bou,6
步,0362,bou,6
捕,1152,bou,6
暴,1155,bou,6
簿,3338,bou,6
埗,7401,bou,6
杯,1727,bui,1
盃,7093,bui,1
背,0878,bui,3
貝,1465,bui,3
輩,1656,bui,3
鋇,3315,bui,3
狽,3485,bui,3
褙,3488,bui,3
悖,4708,bui,3
蓓,5491,bui,3
梖,5749,bui,3
邶,6019,bui,3
揹,7092,bui,3
焙,3460,bui,6
孛,5043,bui,6
卜,2237,buk,1
卟,7404,buk,1
僕,2230,buk,6
曝,2852,buk,6
瀑,2983,buk,6
濮,5451,buk,6
蹼,5676,buk,6
襆,5815,buk,6
醭,6527,buk,6
鏷,6998,buk,6
仆,7176,buk,6
般,0418,bun,1
搬,1743,bun,1
本,0099,bun,2
苯,1451,bun,2
畚,5068,bun,2
半,0409,bun,3
靽,5692,bun,3
伴,1589,bun,6
叛,1684,bun,6
拌,1902,bun,6
胖,2446,bun,6
畔,2916,bun,6
絆,3712,bun,6
捧,2310,bung,2
玤,6772,bung,2
琫,6774,bung,2
缽,3660,but,3
砵,7096,but,3
撥,1505,but,6
勃,1734,but,6
脖,2606,but,6
渤,3215,but,6
荸,3580,but,6
餑,4159,but,6
襏,4738,but,6
浡,5445,but,6
鵓,7051,but,6
Ｃ,7130,Ｃ
差,0575,caa,1
叉,2225,caa,1
岔,2997,caa,1
杈,4243,caa,1
汊,5442,caa,1
釵,6028,caa,1
詫,3240,caa,3
奼,4973,caa,3
衩,6489,caa,3
查,0453,caa,4
茶,0809,caa,4
碴,4010,caa,4
搽,5223,caa,4
楂,5232,caa,4
垞,5556,caa,4
槎,6130,caa,4
猜,2286,caai,1
搓,2896,caai,1
搋,6685,caai,1
踩,2815,caai,2
踹,4880,caai,2
嘬,6311,caai,3
瘥,6792,caai,3
蠆,6929,caai,3
柴,1339,caai,4
豺,4467,caai,4
茈,5982,caai,4
儕,6065,caai,4
測,0710,caak,1
惻,5051,caak,1
策,0650,caak,3
冊,1876,caak,3
拆,1944,caak,3
筴,6446,caak,3
坼,6611,caak,3
賊,2172,caak,6
摻,2724,caam,1
攙,3551,caam,1
驂,7030,caam,1
慘,2000,caam,2
憯,6671,caam,2
杉,2567,caam,3
懺,4911,caam,3
讖,5669,caam,3
蠶,2401,caam,4
慚,3307,caam,4
饞,4227,caam,4
蚕,4427,caam,4
讒,4567,caam,4
鑱,5185,caam,4
棖,6128,caam,4
巉,6647,caam,4
餐,2224,caan,1
產,0049,caan,2
鏟,2459,caan,2
剷,4582,caan,2
滻,6398,caan,2
燦,2782,caan,3
璨,4524,caan,3
粲,5002,caan,3
孱,5415,caan,3
羼,6196,caan,3
殘,1169,caan,4
僝,7411,caan,4
撐,2039,caang,1
瞠,5335,caang,1
橙,3058,caang,2
傖,4960,caang,4
插,1228,caap,3
鍤,6538,caap,3
察,0747,caat,3
擦,1311,caat,3
刷,1771,caat,3
嚓,5038,caat,3
唰,5127,caat,3
獺,5615,caat,3
抄,2276,caau,1
鈔,2522,caau,1
勦,4902,caau,1
炒,1726,caau,2
吵,2304,caau,2
耖,5647,caau,2
巢,2876,caau,4
妻,1545,cai,1
淒,2781,cai,1
栖,2788,cai,1
萋,3747,cai,1
棲,4244,cai,1
沏,4359,cai,1
悽,5735,cai,1
郪,6023,cai,1
凄,7098,cai,1
砌,1865,cai,3
齊,0973,cai,4
薺,4462,cai,4
蠐,6219,cai,4
鮆,5190,cai,5
