jyut  ,rank,ch
aa1   ,0800,啊
aa1   ,0957,呀
aa1   ,2140,鴉
aa1   ,3110,丫
aa1   ,5140,椏
aa1   ,5184,錒
aa1   ,7073,吖
aa2   ,2657,啞
aa2   ,5207,嗄
aa3   ,0675,阿
aa3   ,3310,氬
aa3   ,5413,婭
aa3   ,5717,埡
aai1  ,1413,埃
aai1  ,2231,唉
aai1  ,2312,哎
aai1  ,6623,娭
aai2  ,6721,欸
aai3  ,3025,隘
aai3  ,5036,嗌
aak1  ,0858,握
aak1  ,2750,扼
aak1  ,3066,厄
aak1  ,3474,呃
aak1  ,3704,軛
aak1  ,5029,齷
aam2  ,3748,菡
aang1 ,7079,甖
aang1 ,6195,罌
aat1  ,6683,揠
aat1  ,7000,閼
aat3  ,2089,押
aat3  ,3659,恝
aat3  ,3664,遏
aat3  ,5222,戛
aau1  ,3657,坳
aau3  ,4170,拗
aau3  ,7010,靿
ai3   ,4066,縊
ai3   ,6123,曀
ai3   ,6197,翳
ak1   ,2665,渥
ak1   ,4438,喔
ak1   ,5729,幄
ak1   ,7075,偓
am1   ,2925,庵
am1   ,3920,菴
am1   ,4229,鵪
am1   ,5094,諳
am1   ,6176,盦
am1   ,6612,垵
am2   ,3860,黯
am2   ,5278,闇
am2   ,5905,晻
ang1  ,3988,罃
ang1  ,4255,鶯
ang1  ,4514,嚶
ang2  ,4105,哽
at1   ,6675,扤
au1   ,4005,漚
au1   ,4323,鷗
au1   ,4456,甌
au1   ,4566,謳
au1   ,6112,慪
au2   ,3372,毆
au2   ,3519,嘔
ax1   ,7081,Ａ
baa1  ,0627,巴
baa1  ,0764,吧
baa1  ,1108,爸
baa1  ,2597,叭
baa1  ,3768,疤
baa1  ,3813,芭
baa1  ,4216,笆
baa1  ,4804,鈀
baa1  ,5806,葩
baa1  ,6638,峇
baa1  ,6954,豝
baa2  ,0102,把
baa2  ,2988,靶
baa3  ,1635,霸
baa3  ,2060,壩
baa3  ,5933,灞
baa6  ,1409,罷
baai1 ,4353,掰
baai2 ,1076,擺
baai2 ,6115,捭
baai3 ,1738,拜
baai3 ,3588,湃
baai6 ,1193,敗
baai6 ,4034,憊
baai6 ,4233,唄
baai6 ,4861,稗
baak3 ,0268,百
baak3 ,0849,伯
baak3 ,2125,舶
baak3 ,5864,佰
baak6 ,0311,白
baak6 ,3255,蔔
baak6 ,3825,帛
baak6 ,4549,匐
baak6 ,6297,僰
baak6 ,6472,菔
baak6 ,6512,踣
baan1 ,0851,班
baan1 ,1933,斑
baan1 ,2127,頒
baan1 ,4606,瘢
baan2 ,0632,板
baan2 ,1220,版
baan2 ,1970,闆
baan2 ,5242,爿
baan2 ,5839,鈑
baan2 ,6466,舨
baan2 ,6921,蝂
baan2 ,7082,阪
baan6 ,0410,辦
baan6 ,2485,扮
baan6 ,6392,湴
baang4,7391,嘭
baang6,3489,蹦
