ch,rank,jyutpi,tone
的,1,dik1,1
一,2,jat1,1
是,3,si6,6
在,4,zoi6,6
不,5,bat1,1
了,6,liu5,5
有,7,jau5,5
和,8,wo4,4
人,9,jan4,4
這,10,ze5,5
中,11,zung1,1
大,12,daai6,6
為,13,wai4,4
上,14,soeng5,5
個,15,go3,3
國,16,gwok3,3
我,17,ngo5,5
以,18,ji5,5
要,19,jiu3,3
地,20,dei6,6
他,21,taa1,1
時,22,si4,4
來,23,loi4,4
用,24,jung6,6
們,25,mun4,4
生,26,saang1,1
到,27,dou3,3
作,28,zok3,3
出,29,ceot1,1
就,30,zau6,6
分,31,fan1,1
於,32,jyu1,1
對,33,deoi3,3
成,34,sing4,4
會,35,wui2,2
可,36,ho2,2
主,37,zyu2,2
發,38,faat3,3
年,39,nin4,4
動,40,dung6,6
同,41,tung4,4
工,42,gung1,1
也,43,jaa5,5
能,44,nang4,4
下,45,haa6,6
過,46,gwo3,3
子,47,zi2,2
說,48,syut3,3
產,49,caan2,2
種,50,zung2,2
行,51,hang4,4
而,52,ji4,4
方,53,fong1,1
面,54,min6,6
後,55,hau6,6
多,56,do1,1
定,57,ding6,6
學,58,hok6,6
法,59,faat3,3
所,60,so2,2
民,61,man4,4
得,62,dak1,1
經,63,ging1,1
十,64,sap6,6
三,65,saam1,1
之,66,zi1,1
進,67,zeon3,3
等,68,dang2,2
部,69,bou6,6
度,70,dou6,6
家,71,gaa1,1
電,72,din6,6
力,73,lik6,6
如,74,jyu4,4
水,75,seoi2,2
化,76,faa3,3
高,77,gou1,1
都,78,dou1,1
自,79,zi6,6
二,80,ji6,6
理,81,lei5,5
起,82,hei2,2
小,83,siu2,2
長,84,coeng4,4
物,85,mat6,6
現,86,jin6,6
實,87,sat6,6
加,88,gaa1,1
量,89,loeng6,6
兩,90,loeng5,5
體,91,tai2,2
機,92,gei1,1
還,93,waan4,4
當,94,dong1,1
使,95,sai2,2
點,96,dim2,2
從,97,cung4,4
業,98,jip6,6
本,99,bun2,2
重,100,cung4,4
去,101,heoi3,3
把,102,baa2,2
性,103,sing3,3
好,104,hou2,2
應,105,jing3,3
開,106,hoi1,1
它,107,taa1,1
合,108,hap6,6
因,109,jan1,1
制,110,zai3,3
由,111,jau4,4
其,112,kei4,4
些,113,se1,1
然,114,jin4,4
前,115,cin4,4
外,116,ngoi6,6
天,117,tin1,1
政,118,zing3,3
四,119,sei3,3
日,120,jat6,6
那,121,naa5,5
社,122,se5,5
義,123,ji6,6
事,124,si6,6
平,125,ping4,4
形,126,jing4,4
相,127,soeng1,1
全,128,cyun4,4
裏,129,lei5,5
間,130,gaan1,1
樣,131,joeng6,6
表,132,biu2,2
與,133,jyu5,5
關,134,gwaan1,1
各,135,gok3,3
新,136,san1,1
線,137,sin3,3
內,138,noi6,6
數,139,sou3,3
正,140,zing3,3
心,141,sam1,1
反,142,faan2,2
你,143,nei5,5
明,144,ming4,4
看,145,hon3,3
原,146,jyun4,4
又,147,jau6,6
麼,148,mo1,1
