rank,jyutpi,ch
0001,dik1  ,的 
0002,jat1  ,一 
0003,si6   ,是 
0004,zoi6  ,在 
0005,bat1  ,不 
0006,liu5  ,了 
0007,jau5  ,有 
0008,wo4   ,和 
0009,jan4  ,人 
0010,ze5   ,這 
0011,zung1 ,中 
0012,daai6 ,大 
0013,wai4  ,為 
0014,soeng5,上 
0015,go3   ,個 
0016,gwok3 ,國 
0017,ngo5  ,我 
0018,ji5   ,以 
0019,jiu3  ,要 
0020,dei6  ,地 
0021,taa1  ,他 
0022,si4   ,時 
0023,loi4  ,來 
0024,jung6 ,用 
0025,mun4  ,們 
0026,saang1,生 
0027,dou3  ,到 
0028,zok3  ,作 
0029,ceot1 ,出 
0030,zau6  ,就 
0031,fan1  ,分 
0032,jyu1  ,於 
0033,deoi3 ,對 
0034,sing4 ,成 
0035,wui2  ,會 
0036,ho2   ,可 
0037,zyu2  ,主 
0038,faat3 ,發 
0039,nin4  ,年 
0040,dung6 ,動 
0041,tung4 ,同 
0042,gung1 ,工 
0043,jaa5  ,也 
0044,nang4 ,能 
0045,haa6  ,下 
0046,gwo3  ,過 
0047,zi2   ,子 
0048,syut3 ,說 
0049,caan2 ,產 
0050,zung2 ,種 
0051,hang4 ,行 
0052,ji4   ,而 
0053,fong1 ,方 
0054,min6  ,面 
0055,hau6  ,後 
0056,do1   ,多 
0057,ding6 ,定 
0058,hok6  ,學 
0059,faat3 ,法 
0060,so2   ,所 
0061,man4  ,民 
0062,dak1  ,得 
0063,ging1 ,經 
0064,sap6  ,十 
0065,saam1 ,三 
0066,zi1   ,之 
0067,zeon3 ,進 
0068,dang2 ,等 
0069,bou6  ,部 
0070,dou6  ,度 
0071,gaa1  ,家 
0072,din6  ,電 
0073,lik6  ,力 
0074,jyu4  ,如 
0075,seoi2 ,水 
0076,faa3  ,化 
0077,gou1  ,高 
0078,dou1  ,都 
0079,zi6   ,自 
0080,ji6   ,二 
0081,lei5  ,理 
0082,hei2  ,起 
0083,siu2  ,小 
0084,coengd,長 
0085,mat6  ,物 
0086,jin6  ,現 
0087,sat6  ,實 
0088,gaa1  ,加 
0089,loeng6,量 
0090,loeng5,兩 
0091,tai2  ,體 
0092,gei1  ,機 
0093,waan4 ,還 
0094,dong1 ,當 
0095,sai2  ,使 
0096,dim2  ,點 
0097,cung4 ,從 
0098,jip6  ,業 
0099,bun2  ,本 
0100,cung4 ,重 
0101,heoi3 ,去 
0102,baa2  ,把 
0103,sing3 ,性 
0104,hou2  ,好 
0105,jing3 ,應 
0106,hoi1  ,開 
0107,taa1  ,它 
0108,hap6  ,合 
0109,jan1  ,因 
0110,zai3  ,制 
0111,jau4  ,由 
0112,kei4  ,其 
0113,se1   ,些 
0114,jin4  ,然 
0115,cin4  ,前 
0116,ngoi6 ,外 
0117,tin1  ,天 
0118,zing3 ,政 
0119,sei3  ,四 
0120,jat6  ,日 
0121,naa5  ,那 
0122,se5   ,社 
0123,ji6   ,義 
0124,si6   ,事 
0125,ping4 ,平 
0126,jing4 ,形 
0127,soeng1,相 
0128,cyun4 ,全 
0129,lei5  ,裏 
0130,gaan1 ,間 
0131,joeng6,樣 
0132,biu2  ,表 
0133,jyu5  ,與 
0134,gwaan1,關 
0135,gok3  ,各 
0136,san1  ,新 
0137,sin1  ,先 
0138,noi6  ,內 
0139,sou3  ,數 
0140,zing3 ,正 
0141,sam1  ,心 
0142,faan2 ,反 
0143,nei5  ,你 
0144,ming4 ,明 
0145,hon3  ,看 
0146,jyun4 ,原 
0147,jau6  ,又 
0148,mo1   ,麼 
0149,lei6  ,利 
0150,bei2  ,比 
0151,waak6 ,或 
0152,daan6 ,但 
0153,zat1  ,質 
0154,hei3  ,氣 
0155,dai6  ,第 
0156,hoeng3,向 
0157,dou6  ,道 
0158,ming6 ,命 
0159,ci2   ,此 
0160,mut6  ,沒 
0161,bin3  ,變 
0162,tiu4  ,條 
0163,zi2   ,只 
0164,git3  ,結 
0165,gaai2 ,解 
0166,man6  ,問 
0167,ji3   ,意 
0168,gin3  ,建 
0169,jyut6 ,月 
0170,gung1 ,公 
0171,mou4  ,無 
0172,gwan1 ,軍 
0173,han2  ,很 
0174,cing4 ,情 
0175,ze2   ,者 
0176,zeoi3 ,最 
0177,lap6  ,立 
0178,doi6  ,代 
0179,soeng2,想 
0180,ji5   ,已 
0181,tung1 ,通 
0182,tai4  ,提 
0183,zik6  ,直 
0184,tai4  ,題 
0185,dong2 ,黨 
0186,cing4 ,程 
0187,zin2  ,展 
0188,ng5   ,五 
0189,gwo2  ,果 
0190,liu2  ,料 
0191,zoeng6,象 
0192,jyun4 ,員 
0193,gaak3 ,革 
0194,wai2  ,位 
0195,jap6  ,入 
0196,soeng4,常 
0197,man4  ,文 
0198,zung2 ,總 
0199,ci3   ,次 
0200,ban2  ,品 
0201,sik1  ,式 
0202,wut6  ,活 
0203,cit3  ,設 
0204,kap6  ,及 
0205,gun2  ,管 
0206,dak6  ,特 
0207,gin6  ,件 
0208,kau4  ,求 
0209,lou5  ,老 
0210,tau4  ,頭 
0211,gei1  ,基 
0212,zi1   ,資 
0213,bin1  ,邊 
0214,lau4  ,流 
0215,lou6  ,路 
0216,kap1  ,級 
0217,siu2  ,少 
0218,tou4  ,圖 
0219,saan1 ,山 
0220,tung2 ,統 
0221,zip3  ,接 
0222,zi1   ,知 
0223,gaau3 ,較 
0224,zoeng3,將 
0225,zou2  ,組 
0226,gin3  ,見 
0227,gai3  ,計 
0228,bit6  ,別 
0229,taa1  ,她 
0230,sau2  ,手 
0231,gok3  ,角 
0232,kei4  ,期 
0233,gan1  ,根 
0234,leon6 ,論 
0235,wan6  ,運 
0236,nung4 ,農 
0237,zi2   ,指 
0238,gei2  ,幾 
0239,gau2  ,九 
0240,keoi1 ,區 
0241,koeng4,強 
0242,fong3 ,放 
0243,kyut3 ,決 
0244,sai1  ,西 
0245,bei6  ,被 
0246,zou6  ,做 
0247,bit1  ,必 
0248,zin3  ,戰
0249,sin3  ,線  
0250,zak1  ,則 
0251,jam6  ,任 
0252,ceoi2 ,取 
0253,geoi3 ,據 
0254,wui4  ,回 
0255,kap1  ,給 
0256,diu6  ,調 
0257,cyu3  ,處 
0258,deoi6 ,隊 
0259,naam4 ,南 
0260,sik1  ,色 
0261,gwong1,光 
0262,mun4  ,門 
0263,zik1  ,即 
0264,bou2  ,保 
0265,zi6   ,治 
0266,bak1  ,北 
0267,zou6  ,造 
0268,baak3 ,百 
0269,kwai1 ,規 
0270,jit6  ,熱 
0271,ling5 ,領 
0272,cat1  ,七 
0273,hoi2  ,海 
0274,hau2  ,口 
0275,dung1 ,東 
0276,dou6  ,導 
0277,hei3  ,器 
0278,ngaat3,壓 
0279,sai3  ,世 
0280,gam1  ,金 
0281,zang1 ,增 
0282,zang1 ,爭 
0283,zai3  ,濟 
0284,gaai1 ,階 
0285,jau4  ,油 
0286,si1   ,思 
0287,seot6 ,術 
0288,gik6  ,極 
0289,gaau1 ,交 
0290,sau6  ,受 
0291,gon3  ,幹 
0292,lyun4 ,聯 
0293,jing6 ,認 
0294,luk6  ,六 
0295,gung6 ,共 
0296,kyun4 ,權 
0297,sau1  ,收 
0298,zing3 ,證 
0299,goi2  ,改 
0300,cing1 ,清 
0301,zi3   ,志 
0302,gei2  ,己 
0303,mei5  ,美 
0304,zoi3  ,再 
0305,zyun2 ,轉 
0306,gang3 ,更 
0307,daan1 ,單 
0308,fung1 ,風 
0309,cit3  ,切 
0310,daa2  ,打 
0311,baak6 ,白 
0312,gaau3 ,教 
0313,cuk1  ,速 
0314,faa1  ,花 
0315,daai3 ,帶 
0316,ngon1 ,安 
0317,coeng4,場 
0318,san1  ,身 
0319,ce1   ,車 
0320,lai6  ,例 
0321,zan1  ,真 
0322,mou6  ,務 
0323,geoi6 ,具 
0324,maan6 ,萬 
0325,mui5  ,每 
0326,muk6  ,目 
0327,zi3   ,至 
0328,daat6 ,達 
0329,zau2  ,走 
0330,zik1  ,積 
0331,si6   ,示 
0332,ji5   ,議 
0333,seng1 ,聲 
0334,bou3  ,報 
0335,dau3  ,鬥 
0336,jyun4 ,完 
0337,leoi6 ,類 
0338,baat3 ,八 
