Chinese_Street_Name	English_Street_Name	District_Code
一鳴路	YAT MING ROAD	N
乙明邨街	JAT MIN CHUEN STREET	ST
丁香徑	LILAC PATH	YL
丁香街	LILAC STREET	SSP
丁貴坊街	TING KWAI FONG STREET	Is
七姊妹道	TSAT TSZ MUI ROAD	E
七寶街	TSAT PO STREET	WTS
九如坊	KAU U FONG	C&amp;W
九如坊北	KAU U FONG NORTH	C&amp;W
九如坊西	KAU U FONG WEST	C&amp;W
九江街	KIU KIANG STREET	SSP
九肚山路	KAU TO SHAN ROAD	ST
九肚徑	KAU TO PATH	ST
九龍公園徑	KOWLOON PARK DRIVE	YTM
九龍城道	KOWLOON CITY ROAD	KC
九龍道	KOWLOON ROAD	SSP
二陂圳路	YI PEI CHUN ROAD	TW
二陂坊	YI PEI SQUARE	TW
二號橋	NO.2 BRIDGE	ST
人和里	YAN WO LANE	TP
入水口路	INTAKE ROAD	Is
八鄉路	PAT HEUNG ROAD	YL
八達街	PAT TAT STREET	WTS
十八鄉交匯處	SHAP PAT HEUNG INTERCHANGE	YL
十八鄉路	SHAP PAT HEUNG ROAD	YL
十間	STEWART TERRACE	C&amp;W
又一居道	PARC OASIS ROAD	SSP
又新街	YAU SAN STREET	YL
三多里	SAM TO LANE	C&amp;W
三角街	TRIANGLE STREET	WC
三陂坊	SAM PEI SQUARE	TW
三和路	SAM WO ROAD	TP
三板街	SAM PAN STREET	WC
三門仔路	SAM MUN TSAI ROAD	TP
三祝街	SAM CHUK STREET	WTS
三家里	SAM KA LANE	C&amp;W
三棟屋路	SAM TUNG UK ROAD	TW
三聖街	SAM SHING STREET	TM
上元街	SHEUNG YUEN STREET	WTS
上水東慶路	SHEUNG SHUI TUNG HING ROAD	N
上禾輋路	SHEUNG WO CHE ROAD	ST
上北村第一巷	SHEUNG PAK TSUEN LANE NO.1	N
上北村第二巷	SHEUNG PAK TSUEN LANE NO.2	N
上北村第三巷	SHEUNG PAK TSUEN LANE NO.3	N
上北村第四巷	SHEUNG PAK TSUEN LANE NO. 4	N
上角山路	SHEUNG KOK SHAN ROAD	TW
上角街	SHEUNG KOK STREET	K&amp;T
上亞厘畢道	UPPER ALBERT ROAD	C&amp;W
上海街	SHANGHAI STREET	YTM
上高灘街	SHEUNG KO TAN STREET	K&amp;T
上鄉道	SHEUNG HEUNG ROAD	KC
上圍里	SHEUNG WAI LANE	SK
上葵涌村路	SHEUNG KWAI CHUNG TSUEN ROAD	TW
上羅禮信道	UPPER ROLISON ROAD	WC
下北村第一巷	HA PAK TSUEN LANE NO.1	N
下北村第二巷	HA PAK TSUEN LANE NO.2	N
下北村第三巷	HA PAK TSUEN LANE NO.3	N
下北村第五巷	HA PAK TSUEN LANE NO.5	N
下北村第四巷	HA PAK TSUEN LANE NO.4	N
下竹園路	HA CHUK YUEN ROAD	YL
下亞厘畢道	LOWER ALBERT ROAD	C&amp;W
下城門道	LOWER SHING MUN ROAD	ST
下洋新村路	HA YEUNG SAN TSUEN ROAD	SK
下洋路	HA YEUNG ROAD	SK
下高灘街	HA KO TAN STREET	K&amp;T
下鄉道	HA HEUNG ROAD	KC
下新圍路	HA SAN WAI ROAD	YL
下羅禮信道	LOWER ROLISON ROAD	WC
下灣村東路	HA WAN TSUEN EAST ROAD	YL
下灣村路	HA WAN TSUEN ROAD	YL
凡爾賽大道	AVENUE DE VERSAILLES	YL
土瓜灣道	TO KWA WAN ROAD	KC
士丹利街	STANLEY STREET	C&amp;W
士丹頓街	STAUNTON STREET	C&amp;W
士他令道	STIRLING ROAD	KC
士他花利街	STAVELEY STREET	C&amp;W
士林一巷	RESIDENCE LANE 1	ST
士林路	RESIDENCE ROAD	ST
士美菲路	SMITHFIELD	C&amp;W
