aaaa   日照時間
aaabxd 晶體結構
aaafaz 晶瑩剔透
aaaood 晶內偏析
aaawom 晶圓代工
aahh   日暖風和
aahyo  昌黎文集
aaji   日晒牢度
aaji   日曬牢度
aame   日晒雨淋
aame   日曬雨淋
aayy   日日夜夜
abags  明顯增加
abahh  明明白白
abahz  明眉皓齒
abam   日月星辰
abanj  明暗不定
abaqg  明顯提高
abatt  明日黃花
abaxo  明顯變化
abaza  明日之星
abbal  明爭暗鬥
abbf   日月爭輝
abbfj  明月當空
abbnb  明目張膽
abcgw  明鏡高懸
abdah  明來明往
abdah  明來暗往
abdah  明槍易躲
abdah  明槍暗箭
abday  明查暗訪
abdel  明末清初
abdtr  明末農民
abeae  明溝暗渠
abemh  明治天皇
abemo  明清兩代
abevc  明澈如鏡
abewl  明湖國中
abewn  明湖國小
abexy  明治維新
abfgo  明火執仗
abgmc  明志工業
abgmi  明志工專
abhan  明升暗降
abhei  明德水庫
abhf   日月重光
abhwf  明白了當
abhwl  明德國中
abhwn  明德國小
abjay  明察暗訪
abjeh  明窗淨几
abjhy  明察秋毫
abjkjh 暈頭轉向
abkhy  明夷待訪
abkja  明知故問
abkjk  明知故犯
abmaq  明珠暗投
abmtm  明正典刑
abnah  明不明白
abnah  明降暗升
abnai  明不明朗
abodz  明修棧道
abof   日月無光
abonj  明人不做
abowl  明倫國中
abown  明倫國小
abozh  明智之舉
abpwp  明心見性
abqoh  明哲保身
absbd  明確目標
absjr  明恥教戰
absmg  明碼電報
absqj  明確規定
absqu  明確指出
absqu  明確提出
absto  明於觀人
abstz  明尼蘇達
abtbbn 盟軍部隊
abttf  明若觀火
abuao  明艷照人
abvd   日月如梭
abvms  明媒正娶
abvyl  明斷是非
abwhz  明眸皓齒
abyas  明棄暗取
abyho  明亮動人
abymi  明新工專
abyqj  明文規定
abyyl  明辨是非
acihx  題庫系統
acuhti 閱兵典禮
acuymh 閱讀歷程
acuyyo 閱讀文化
addg   日本本土
adhacq 閉門卻掃
adhahj 閉關自守
adhamh 閉關政策
adhawz 閉門思過
adhayj 閉門謝客
adhazj 閉門造車
