aaaa 晶晶
aaab 昌明
aaab 晶體
aaad 晶格
aaaf 晶瑩
aaal 晶片
aaam 晶形
aaam 晶球
aaam 晶石
aaam 晶電
aaat 晶華
aaaw 晶圓
aaay 晶亮
aabj 日暈
aaea 曝曬
aaef 曝光
aaem 曝露
aaeo 曝氣
aagl 昌都
aagr 昌吉
aahm 日星
aahr 日晷
aahs 日昨
aait 昌盛
aak  昌大
aamp 日曬
aamw 日晒
aana 日間
aanm 昌隆
aanu 日冕
aapj 昌平
aaq  日時
aaqe 昌泰
aarf 日照
aatt 昌益
aay  日影
aaz  日日
aba  明日
abaa 明暗
abab 明明
abaf 明顯
abaj 明早
abal 明晰
abam 明星
abaq 明時
abau 明晚
abav 明晨
abaz 明得
abb  明月
abbd 明爭
abbh 明膠
abbi 明多
abbr 明周
abbu 明目
abbz 明體
abci 明公
abct 明鑑
abcu 明鏡
abdj 明末
abdm 明查
abdr 明礬
abdt 明來
abea 暖得
abea 暖暖
abeb 明清
abec 暖鋒
abed 明渠
abed 暖棚
abed 暖機
abee 暖流
abef 暖爐
abeg 暖到
abeg 暖場
abeg 暖壺
abeg 暖起
abeh 暖和
abej 明潭
abek 明澈
aben 暖色
aben 暖陽
abeo 暖氣
abeq 明對
abeq 暖手
aber 明治
abes 明淨
abes 暖的
abes 暖那
abet 暖著
abev 暖好
abey 暖意
abez 明水
abez 暖這
abez 暖遍
abez 暖過
abf  明火
abfd 明燦
abfj 明輝
abfm 明光
abfs 日勝
abft 明燈
abge 明報
abgl 明都
abgn 明到
abgp 明志
abgu 明起
abgz 明走
abha 明白
abhe 日股
abhp 明德
abhq 明律
abhr 明告
abhs 明秀
abhu 明兒
abi  日多
abi  明我
abib 明朗
abie 明度
abif 明為
abil 明州
abil 明神
abis 明成
abit 明禮
abiu 明視
abjb 明朝
abjd 暈機
abjf 明察
abjg 明室
abjh 暈船
abjj 暈車
abjk 明教
abjm 暈厥
abjo 暈倒
abju 明完
abjw 暈了
abjw 暈眩
abjz 日軍
abjz 明定
abk  明大
abkb 明有
abkg 明在
abkz 明知
able 明蝦
ablg 明裡
ablh 明暢
ablj 明牌
ablk 明史
abls 明初
abm  明天
abmd 明珠
abmf 明示
abmg 明王
abmk 明政
abmn 明列
abms 明功
abmu 明電
abn  明不
abo  明年
aboa 明智
abob 明倫
aboi 明令
aboi 明愛
abok 明敏
abom 明仁
abop 明代
abp  明心
abpk 明快
abpm 明性
abps 明切
abq  日用
abqa 明春
abqm 明控
abqp 明慧
abqp 明批
abqp 明指
abqp 明擺
abqr 明哲
abqs 明搶
abqw 明看
abra 明吧
abrf 明嗎
abrl 明哪
abrn 明喻
abrp 明呢
abrr 明啊
abrr 明器
abrt 明啦
absf 明碼
absg 明確
absl 明那
absn 勗勉
absy 明於
absz 明的
abta 明著
abtb 盟軍
abtd 盟機
abti 明義
abtk 盟友
abtl 盟書
abtq 盟誓
abtq 盟邦
abtr 明若
abtr 盟員
abtw 盟國
abtx 盟約
abty 盟主
abuu 明出
abuu 明艷
abvl 明斷
abvn 明好
abvo 明以
abvq 明將
abvw 明媚
abw  明了
abwf 明瞭
abwp 明思
abwq 明眸
abwr 明回
abwy 明點
abxh 明線
abxr 明給
abxw 明細
aby  明是
abyb 明講
abyg 明主
abyj 明辨
abyk 明文
abyn 明訂
abyr 明言
abyt 明證
abyu 明亮
abyz 明証
abz  日月
abzb 明遍
abzm 明些
abzq 明達
abzt 明道
abzy 明這
acaz 題得
acbj 題辭
acbu 題目
accs 題分
acdh 題材
acgo 題款
aci  題我
acif 題為
acij 題庫
acjf 題寫
acjn 題字
ackb 題有
ackg 題在
aclm 題畫
acm  題一
acmy 題下
acnq 題解
acnr 題名
acny 題外
acon 題例
acow 題個
acpa 題旨
acrk 題跋
acry 題號
acs  日分
acs  題的
acsg 題壁
acta 題著
acuf 閱卷
acug 閱報
acuh 閱兵
acuk 閱有
acum 閱歷
acuo 閱人
acus 閱覽
acuv 閱後
acuy 閱讀
acv  日銀
acvn 題好
acvo 題以
acw  題了
acy  題是
acym 題上
acyp 題意
acyq 題詩
acyr 題詞
aczy 題這
adb  日相
adfm 闌干
adfs 闌尾
adha 閉關
adhb 閉目
adhc 閉鎖
adhg 閉起
adhh 閉戶
adhi 閉廠
adhj 閉塞
adhk 閉架
adho 閉合
adhr 閉路
adhs 閉的
adhs 閉緊
adht 閉幕
adhw 閉眼
adhy 閉上
adk  日校
adm  日本
adqg 闈場
adt  日來
adwm 闌珊
aeaa 最暗
aeab 最明
aeae 最暖
aeae 最最
aeaf 最顯
aeah 最易
aeaj 最早
aeaq 最時
aeat 最開
aeau 最晚
aeav 最關
aeaz 最得
aeb  日清
aebc 最具
aebc 最賺
aebe 最受
aebi 最多
aebq 最胖
aebr 最周
aebr 最貼
aebs 最勝
aebu 最肥
aecc 最貧
aedg 最權
aedj 最末
aedp 最想
aedq 最棒
aedv 最根
aedw 最東
aee  日沒
aeeb 最清
aeeb 最滑
aeeb 最滿
aeed 最深
aeee 最沒
aeef 最漂
aeei 最淺
aeej 最準
aeek 最激
aeer 最活
aeeu 最流
aeev 最渴
aefa 最糟
aefb 最精
aefc 最煩
aefh 最少
aefi 最炫
aefl 最常
aefm 最粗
aefw 最爛
aefw 最省
aegf 最熱
aegj 最幸
aego 最高
aegt 最喜
aegu 最起
aegv 最壞
aeha 最白
aeha 最簡
aeha 最香
aehc 最須
aehg 最重
aehk 最臭
aehm 最甜
aehm 最笨
aehn 最利
aehq 最特
aehr 最后
aehw 最自
aeia 最良
aeib 最能
aeic 最廣
aeif 最為
aeil 最神
aeim 日減
aeim 最底
aeip 最感
aeir 日治
aeis 最成
aeit 最盛
aejb 最直
aejc 最實
aejc 最寶
aejc 最真
aeji 最寬
aejj 最南
aejk 最突
aejl 日漸
aejm 最輕
aejp 最惠
aejr 最古
aejr 最容
aejs 最窄
aeju 最完
aeju 最密
aejv 最安
aejw 最富
aek  日激
aek  最大
aekb 最希
aekb 最有
aekb 最痛
aeke 最瘦
aekm 最左
aekp 最老
aekr 最右
aekt 最奇
aekt 最猛
aeky 最疼
ael  日沖
ael  最中
aelc 最貴
aele 最被
aelh 最暢
aelp 最北
aels 最初
aemb 最需
aemc 最西
aemc 最頂
aemd 最厚
aeme 最酸
aemf 最原
aemg 最理
aemh 最珍
aemm 最靈
aemr 最酷
aems 最巧
aemv 最要
aemy 最下
aemz 最正
aen  最不
aenc 最小
aeni 最強
aenl 最引
aenm 最弱
aeno 最久
aenq 最鮮
aenr 最可
aenr 最夠
aenu 最危
aeny 最外
aeoa 最會
aeoe 最優
aeof 最繁
aeog 最佳
aeoi 最令
aeoi 最愛
aeok 最使
aeok 最便
aeok 最敏
aeom 最低
aeoo 最像
aeoq 最偉
aeoq 最年
aeor 最合
aeot 最短
aeov 最矮
aep  最心
aepa 最怕
aepe 最慢
aeph 最慘
aepj 最平
aepk 最快
aepm 最性
aepv 最忙
aepv 最恨
aeqh 最先
aeqi 最毒
aeqr 最擔
aeqv 最接
aeqw 最看
aerc 闊斧
aerd 閣樓
aere 最吸
aerf 闊少
aeri 闊度
aerk 最嚴
aerk 闊太
aerk 闊老
aerl 最叫
aerm 閣下
aern 閣外
aero 闊氣
aerq 閣揆
aerr 閣員
aerr 闊別
aers 閣的
aert 闊落
aert 闊葉
aerx 闊綽
aery 闊論
aerz 闊步
aesf 最緊
aesg 最堅
aesk 最硬
aesp 最忌
aesp 最聰
aesv 最長
aeta 最普
aeta 最著
aetb 最期
aetc 最典
aetg 最基
aetg 最難
aetk 最美
aetm 最差
aetm 最甘
aetn 最前
aetq 最薄
aetr 最善
aetr 最苦
aett 最藍
aetu 最舊
aetv 最艱
aeuf 最崇
aeut 最豐
aeuu 最兇
aeuu 最出
aevd 最樂
aevh 最妙
aevn 最好
aevz 最後
aew  最了
aewc 最圓
aewd 最困
aewf 最累
aewf 最黑
aexm 最紅
aexr 最給
aexs 最絕
aexu 最純
aexw 最細
aexy 最終
aexz 最經
aey  最是
aeyd 最新
aeyf 最熟
aeyg 最主
aeyl 最辣
aeym 最上
aeyq 最討
aeys 最方
aeyu 最亮
aeyu 最親
aeyv 最讓
aezb 最肯
aezb 最適
aezd 最速
aezd 最遊
aezg 最遠
aezl 最近
aezq 最遲
aezs 最邊
afab 顯明
afay 顯影
afaz 顯得
afbf 顯然
afbu 顯目
affd 顯榮
affg 顯耀
afgc 顯赫
afhk 顯微
afhm 顯徑
afim 顯祖
afin 顯現
afja 顯者
afjr 顯官
afjr 顯豁
afkb 日幣
afkb 顯有
afl  日常
aflc 顯貴
afm  日光
afmb 顯而
afmf 顯示
afmg 顯型
afmm 顯靈
afmr 顯露
afmv 顯要
afnr 顯名
afoo 顯像
afot 顯位
afpm 顯性
afqh 顯揚
afs  顯的
afsg 顯聖
afta 顯著
afua 晃得
afua 晃晃
afub 晃腦
afud 晃來
afue 晃盪
afug 晃到
afug 晃去
afuh 晃動
afun 顯學
afut 晃蕩
afuu 顯出
afuw 晃了
afuw 晃眼
afwh 顯見
afwv 顯眼
afy  顯是
afzq 顯達
agag 量量
agaj 量早
agal 量即
agaz 量得
agbc 量具
agbe 量販
agbi 量多
agc  日增
agcs 量分
agdf 量杯
age  日報
agen 量測
ageq 量對
agfh 量少
agfr 量尚
agga 閨門
agga 閨閣
aggc 量增
aggh 閨秀
aggi 量去
aggl 量都
aggl 閨中
aggn 量到
aggn 閨怨
aggo 量高
aggu 量起
aggv 閨女
aggy 量地
aggz 量走
agh  日場
aghg 量程
aghh 量身
aghn 量移
aghr 量筒
agi  量我
agib 量能
agie 量度
agip 量感
agis 量成
agju 量完
agk  量大
agkb 量有
