aaalx 晶片組
abad  明顯地
abas  明顯的
abay  明明是
abej  日月潭
abio  明朗化
abka  明有關
abol  明信片
abol  明年初
abr   日用品
abrr  日用品
abyi  明亮度
acusj 閱覽室
acuyj 閱讀室
acuyr 閱讀器
acuys 閱讀的
adhat 閉門羹
adhyw 閉上眼
ads   日本的
adww  日本國
adyr  日本語
aeaa  最明顯
aeac  最關鍵
aebo  最多人
aebs  最多的
aecy  最鍾意
aedd  最根本
aeeh  最流行
aeey  最深刻
aefb  最常用
aefb  最精采
aefw  最常見
aega  最熱門
aege  最高潮
aego  最喜愛
aego  最高價
aegs  最起碼
aegs  最高層
aegt  最喜歡
aegu  最高峰
aegw  最高點
aegx  最高級
aehf  最欣賞
aehm  最重要
aehr  最特別
aehr  最簡單
aeio  最為人
aeja  最容易
aejo  最安全
aejq  最直接
aejt  最完善
aejw  最惠國
aekh  最有利
aekm  最大型
aeko  最大化
aeks  最大的
aeky  最有效
aelss 最初的
aemd  最理想
aemh  最下策
aemj  最厲害
aemm  最需要
aems  最要緊
aenn  最危險
aens  最小的
aeoh  最優秀
aeoj  最優惠
aeon  最低限
aeoo  最令人
aeoo  最低價
aeop  最繁忙
aeos  最佳的
aeow  最低點
aeqz  最先進
aerh  最嚴重
aermn 閣下可
aern  最吸引
aesm  最緊要
aetd  最基本
aetm  最前面
aetm  最美麗
aets  最薄的
aetx  最前線
aety  最難忘
aetz  最普遍
aeuj  最豐富
aevg  最後再
aevi  最好能
aevk  最好在
aevk  最好有
aevs  最好的
aevs  最後的
aevy  最好是
aevz  最後還
aexg  最終都
aexs  最終的
aeyl  最新版
aeym  最主要
aeym  最新型
aeys  最新的
aezj  最適宜
aezo  最適合
aezs  最近的
aezt  最近期
afby  顯然是
afeo  日光浴
afft  日光燈
afhc  顯微鏡
afhq  顯身手
afmr  顯示器
afms  顯示屏
afms  顯示的
afmu  顯示出
afmy  顯示卡
afs   日常的
afts  顯著的
ags   日報的
ahdz  阿根廷
aheu  日香港
ahew  阿波羅
ahfa  阿米巴
ahhm  日舉行
ahhm  阿兵哥
ahje  阿富汗
ahmsg 星加坡
ahmta 星期日
ahmtf 星期五
ahmtm 星期一
ahmtm 星期三
ahmtm 星期二
ahmtm 星期天
ahmtw 星期四
ahmty 星期六
ahqo  阿拉伯
ahqv  日程表
ahsay 昨日亦
ahst  阿聯酋
ahwe  阿羅漢
ahwu  阿里山
aiuaa 既問題
aiuao 既時候
aiuby 既然是
aium  日我們
aiunv 既可以
aiuny 既不是
aiuxm 既網頁
ajatm 暑期工
ajmw  早一點
ajmz  早一些
ajoa  早午晚
ajsx  早已經
alag  即日起
alhe  即香港
alnv  即可以
alok  即使在
alok  即使有
aloy  即使是
alqm  即表示
alvk  即將在
alyc  即是說
amgns 旺角區
amgnz 旺角道
amiq  日政府
ampkn 曬太陽
anacs 間公司
analk 間中有
anaqw 間奏曲
anne  門外漢
anuib 晚禮服
anuyj 晚上十
anyb  門診部
aoff  閃光燈
aomi  日內瓦
aphao 易開罐
aptt  悶葫蘆
aqad  時間才
aqag  時間去
aqaq  時間表
aqay  時間上
aqay  時間是
aqbmq 晴雨表
aqhe  時段
aqhk  時所有
aqiu  時我們
