aaaa   日照時間
aaabmd 晶體三極管
aaabmd 晶體二極管
aaabqe 晶體振盪器
aaabqt 晶體振蕩器
aaabxd 晶體結構
aaafaz 晶瑩剔透
aaaood 晶內偏析
aaawom 晶圓代工
aahh   日暖風和
aahyo  昌黎文集
aaji   日晒牢度
aaji   日曬牢度
aame   日晒雨淋
aame   日曬雨淋
aayy   日日夜夜
abags  明顯增加
abahh  明明白白
abahz  明眉皓齒
abam   日月星辰
abanj  明暗不定
abaqg  明顯提高
abatt  明日黃花
abaxo  明顯變化
abaza  明日之星
abbal  明爭暗鬥
abbf   日月爭輝
abbfj  明月當空
abbnb  明目張膽
abcgw  明鏡高懸
abdah  明來明往
abdah  明來暗往
abdah  明槍易躲
abdah  明槍暗箭
abday  明查暗訪
abdel  明末清初
abdtr  明末農民
abeae  明溝暗渠
abemh  明治天皇
abemo  明清兩代
abevc  明澈如鏡
abewl  明湖國中
abewn  明湖國小
abexy  明治維新
abfgo  明火執仗
abgmc  明志工業
abgmi  明志工專
abhan  明升暗降
abhei  明德水庫
abhf   日月重光
abhwf  明白了當
abhwl  明德國中
abhwn  明德國小
abjay  明察暗訪
abjeh  明窗淨几
abjhy  明察秋毫
abjkjh 暈頭轉向
abkhy  明夷待訪
abkhyc 明夷待訪錄
abkja  明知故問
abkjk  明知故犯
abmaq  明珠暗投
abmtm  明正典刑
abnah  明不明白
abnah  明降暗升
abnai  明不明朗
abodz  明修棧道
abof   日月無光
abonj  明人不做
abowl  明倫國中
abown  明倫國小
abozh  明智之舉
abpwp  明心見性
abqoh  明哲保身
absbd  明確目標
absjr  明恥教戰
absmg  明碼電報
absqj  明確規定
absqu  明確指出
absqu  明確提出
abstku 明尼蘇大學
absto  明於觀人
abstz  明尼蘇達
abstzi 明尼蘇達州
abtbbn 盟軍部隊
abttf  明若觀火
abuao  明艷照人
abvd   日月如梭
abvms  明媒正娶
abvyl  明斷是非
abwhz  明眸皓齒
abyas  明棄暗取
abyho  明亮動人
abymi  明新工專
abyqj  明文規定
abyyl  明辨是非
acihx  題庫系統
acuhti 閱兵典禮
acuymh 閱讀歷程
acuyyo 閱讀文化
addg   日本本土
adhacq 閉門卻掃
adhahj 閉關自守
adhamh 閉關政策
adhawz 閉門思過
adhayj 閉門謝客
adhazj 閉門造車
adhbti 閉目養神
adhbtt 閉月羞花
adhmow 閉一隻眼
adhomr 閉合電路
adhrmi 閉路電視
adhrnh 閉口不答
adhtti 閉幕典禮
admi   日本政府
admq   日本酸素
aeat   日治時期
aebngz 最多不超過
aebnz  最多不過
aebos  最周全的
aebtz  最受歡迎
aegen  最高法院
aegep  最高水平
aegfh  最高榮譽
aegno  最高限價
aegoe  最高氣溫
aegor  最高人民
aegsy  最壞的是
aegui  最高學府
aegwn  最高國務
aegxc  最高紀錄
aehms  最重要的
aehmsy 最重要的是
aejwhz 最惠國待遇
aekdk  最有權力
aekms  最大型的
aekni  最大限度
aekoo  最有價值
aekoo  最有條件
aekqk  最大扭力
aekqr  最大挑戰
aeksaa 最大的問題
aelvm  最初幾天
aelvo  最初幾年
aelvob 最初幾個月
aemsy  最巧的是
aengt  最不喜歡
aeoei  最低溫度
aeoel  最低消費
aeonj  最佳陣容
aeooe  最低氣溫
aeooz  最佳人選
aeovyn 最佳女主角
aeowyn 最佳男主角
aeozq  最佳選擇
aeqvop 最毒婦人心
aerhs  最嚴重的
aermni 閣下可能
aermnv 閣下可以
aerrbo 闊別多年
aerztz 闊步前進
aetss  最著緊的
aevbh  最後勝利
aevjf  最後審判
aevk   日漸壯大
aevmi  最後一次
aevmo  最後一個
aevmz  最後一步
aevnm  最好不要
aevsy  最好的是
aevsy  最妙的是
aevye  最好辦法
aevzl  最後通牒
aexbd  最終目標
aexbs  最終目的
aexoh  最終傳動
aexzy  最終還是
aeyeh  最新消息
aeygz  最新報導
aeymt  最新一期
aeyps  最衷心的
aezvm  最近幾天
aezvo  最近幾年
aezvob 最近幾個月
afbr   日常用品
afby   日省月試
afgfp  顯赫家世
afgma  顯赫一時
afhal  顯微照片
afhqn  顯身揚名
afiud  顯現出來
afke   日光療法
afmaw  顯而易見
afmhx  顯示系統
afmkn  顯露頭角
afmo   日常工作
afmud  顯示出來
afmud  顯露出來
afqe   日常生活
aftdh  顯花植物
afuaoo 晃晃悠悠
afudag 晃來晃去
afuhgd 晃動起來
afukab 晃頭晃腦
agbg   日趨敗壞
agbjy  量體裁衣
agdcb  量才錄用
agkmh  量力而行
agkmi  量力而為
agnku  量子力學
agnuc  量子學說
agoiu  量入為出
agqy   日起生效
agrh   日趨嚴重
agthfs 闔第光臨
agubma 曉月殘星
aguhmb 曉風殘月
aguhyj 曉行夜宿
aguvkt 曉以大義
agyn   日趨衰弱
ahbw   日積月累
ahcie 阿公店水庫
ahcud 阿公岩村道
ahhls 阿留申群島
ahlhs 阿非利加洲
ahma   日復一日
ahmas 阿爾巴尼亞
ahmaww 星星點點
ahmazf 星星之火
ahmbcf 星月交輝
ahmcav 星爸星媽
ahmffm 星火燎原
ahmfww 星光點點
ahmhag 星島日報
ahmht 阿爾卑斯山
ahmhyj 星移斗轉
ahmhyq 星移斗換
ahmmkr 星球大戰
ahmnf 阿爾發粒子
ahmnh 阿爾及利亞
ahmnkr 星際大戰
ahmnnh 星際飛行
ahmsds 星馬地區
ahmt   日行一善
ahmtmi 星期一次
ahmtmi 星期一次者
ahmtoa 星期假日
ahmwdk 星羅棋布
ahmwdo 星羅棋佈
ahmzyz 星運亨通
ahoj   日籍人士
ahora 阿什哈巴德
ahqas 阿拉巴馬州
ahqof 阿拉伯半島
ahqol 阿拉伯數字
ahqow 阿拉伯國家
ahqts 阿拉斯加州
ahsmay 昨天早上
ahsmay 昨天晚上
ahsmlo 昨天中午
ahsmmo 昨天下午
ahsmyl 昨天夜裡
ahsmyo 昨天上午
ahsyol 昨是今非
ahtew 阿茲海默症
ahttob 昇華作用
ahvth 阿姆斯特丹
ahwawh 眉開眼笑
ahwbeh 眉目清秀
ahwbop 眉目傳情
ahwbza 眉目之間
ahwdwg 眉來眼去
ahwebh 眉清目秀
ahwgwo 眉高眼低
ahwjza 眉宇之間
ahwnno 眉飛色舞
aicaan 曠時日久
aicaqn 曠日持久
aicjga 曠古未聞
aicjgk 曠古未有
aicjxo 曠古絕今
aicpkd 曠世奇才
aicpnw 曠世不羈
aicpzd 曠世之才
aicpzd 曠世逸才
aicyal 曠課日數
aicyal 曠課時數
aicyyc 曠課記錄
aiuaht 既得利益
aiuaht 既得利益者
aiubvz 既然如此
aiuhlh 既自由自在
aiuhne 既往不咎
aiuhnj 既往不究
aiuijj 既成事實
aiujbd 既定目標
aiujmh 既定政策
aiukby 既老且衰
aiuwbk 既男朋友
aivt   日或以前
aiya   日或該日
aiyav  日或該日後
ajago  早晚都會
ajagy  早晚都是
ajaih  早日康復
ajaozo 暑氣逼人
ajdsjm 昧於事理
ajdtip 昧著良心
ajgaw  早去早回
ajgma  早場電影
ajgmz  早走一步
ajhsy  早自習課
ajkqh  早有打算
ajkvz  早知如此
ajkyl  早有計劃
ajmav  早下早好
ajmav  早死早好
ajmmz  早下一步
ajoaa  早會時間
ajoaz  早借早還
ajqaa  早操時間
ajqah  早春時節
ajqln  早生貴子
ajrmz  早踏一步
ajuah  早出晚歸
ajvnqh 晏子春秋
ajwag  早睡早起
ajyaa  早餐時間
ajyam  早上早下
ajyin  早衰現象
ajyj   日做夜做
ajyoh  早熟作物
ajzao  早些時候
akgn   日有起色
akhw   日有所思
akilsn 閎中肆外
akujpx 閹割情結
alhjm  即物窮理
alieeg 閩江流域
aliey  即席演講
alihds 閩粵地區
alihoj 閩籍人士
alihoj 閩粵人士
aliids 閩台地區
alijds 閩南地區
alilds 閩北地區
alkaud 映照出來
alkowh 映入眼簾
altjm  即期支票
amary  日爾曼民族
amfl   日正當中
amgigd 旺盛起來
amgnfj 旺角火車站
amitmi 曇花一現
amjeov 旱澇保收
amjezv 旱潦之災
amjt   日臻完善
amnii  旦夕禍福
amnza  旦夕之間
amnzn  旦夕之危
amrytt 晤談甚歡
amtd   日理萬機
amvaeh 晨間活動
amvctg 晨鐘暮鼓
amvfhi 晨光乍現
amvhjf 晨昏定省
amvhjo 晨昏顛倒
amvxma 晨約二時
ananjh 間不容息
ananjs 間不容髮
ananjx 間不容緩
anaqdf 間接材料
anaqid 間接成本
anaqom 間接人工
anaqzh 間接選舉
anayeh 間諜活動
anbmwj 閒雲野鶴
anbonz 閒人免進
anbpzm 閒情逸致
anbpzx 閒情逸緻
anbtej 閒著沒事
anbtej 閒著沒事幹
anbwfc 閒話少說
anbwff 閒話家常
anbwnb 閒置不用
anbyay 閒言閒語
anbyoh 閒雜人等
anddr  門禁森嚴
