a    日
aa   昌
aaa  晶
aae  曝
aah  暘
aav  暍
ab   明
abc  暝
abe  暖
abj  暈
abjz 暉
abs  勗
abt  盟
ac   題
acu  閱
ad   杲
adh  閉
adl  晰
adq  闈
adf  闌
ae   最
aer  閣
aerz 闊
af   顯
afc  顥
afu  晃
ag   量
agg  閨
agt  闔
agu  曉
ahb  晌
avl  昂
ahl  昕
ahm  星
ahr  晷
ahs  昨
aht  昇
ahw  眉
aic  曠
aiu  既
aj   早
aja  暑
ajc  闐
ajd  昧
ajm  暄
ajv  晏
akb  晞
akf  暸
aki  閎
al   即
ali  閩
alk  映
alo  晁
am   旦
amg  旺
amgz 閏
ami  曇
amj  旱
amk  昊
amm  晅
amp  曬
amr  晤
amv  晨
amw  晒
an   門
ana  間
anb  閒
and  閑
ank  闋
anm  閂
anu  晚
anuz 閻
anuz 冕
ao   閃
aoi  閥
aol  昤
aor  閤
aoy  晦
ap   悶
ape  曖
apf  煦
aph  易
apm  昀
apn  剔
apo  曷
app  昆
aq   時
aqb  晴
ar   問
are  暇
arf  照
arj  闡
arr  闆
arrz 閭
as   聞
asf  闖
asg  曜
asj  闢
asr  昭
asrz 暱
at   開
atc  鬨
ate  暴
ati  曦
atj  曄
ato  闕
au   巴
aum  暨
av   關
avo  歇
avz  艮
aw   冒
awa  曙
awe  曼
awl  閘
ax   Ａ
axx  ａ
ay   影
aya  暗
ayf  景
ayfz 晾
ayk  閔
ayo  閡
ayt  昱
ayv  曩
az   得
azp  匙
b    月
bac  冥
bah  賜
bahz 腸
bam  腥
bau  肥
bb   朋
bbb  骨
bbe  受
bbf  鵬
bbj  辭
bbr  胴
bbu  亂
bc   貝
bca  贈
bcj  罕
bck  敗
bcu  脫
bcuz 罌
bcv  嬰
bd   采
bde  膝
bdh  財
bdhz 豺
bdi  肘
bdu  乳
bdw  釉
ber  賂
berz 骼
berz 胳
berz 貉
bf   然
bfc  賸
bfe  滕
bff  騰
bfg  膛
bfq  胖
bfr  謄
bfs  勝
bfu  胱
bfz  炙
bg   肚
bgc  贖
bgh  膨
bgr  周
bh   彩
bhc  臢
bhe  股
bhez 販
bhez 腺
bhez 骰
bhg  腫
bhj  脾
bhm  胝
bhn  肌
bhnz 冗
bhu  貌
bhuz 舀
bhv  脈
bhz  貶
bi   多
bib  脯
bic  膩
bii  賤
bij  賊
biq  腑
biqz 膊
biqz 賻
bir  胎
birz 貽
bis  贓
bj   軍
bja  賭
bjb  肺
bjc  臏
bjd  脖
bje  肢
bji  髖
bjm  腔
bjn  貯
bjr  骷
bju  腕
bk   央
bkb  賄
bke  爰
bkg  雞
bki  肱
bkn  胰
bkr  谿
bks  肋
bksz 胯
bku  腌
bl   腳
bln  刖
blv  髏
bly  腓
bm   且
bma  貊
bmb  膈
bmc  具
bmf  祭
bmfz 膘
bmj  肝
bmm  胚
bmo  豚
bmoz 冢
bmq  冠
bmt  脰
bmv  腰
bmvz 賑
bmvz 脤
bmy  肛
bmz  賦
bn   則
bnd  孚
bni  冤
bnq  舜
bnr  膽
bnrz 贍
bnu  脆
boa  膾
boe  腹
bof  賒
boo  臉
bp   胞
bpa  脂
bpi  豹
bpk  胸
bpu  肫
bq   用
bqu  甩
br   同
brg  雕
brh  彫
bs   助
bsd  爭
bse  服
bsh  膠
bsr  貂
bss  凸
bsv  脹
bsvz 賬
bt   冊
btb  購
btbz 冪
btc  賺
btcz 腆
bts  臟
btj  胼
btk  膜
btkz 朕
btn  刪
bto  朦
btr  膳
btt  髒
btu  岡
btv  罔
bwv  膿
btw  貓
btz  皿
bu   目
buf  鷂
