編碼	被刪除詞 (簡/異)	保留詞 (繁體)
----------------------------------------
augld	歐幾里得		歐幾裡得
begjig	病征		病徵
bekwgs	北回歸線		北迴歸線
betfst	不負所托		不負所託
betnlg	不能了解		不能瞭解
biujig	表征		表徵
bootss	本台消息		本臺消息
boujig	補征		補徵
canlwy	產卵洄游		產卵洄遊
cetcly	七情六欲		七情六慾
chedgc	張燈結彩		張燈結綵
cigsgy	清心寡欲		清心寡慾
cuigbs	除舊布新		除舊佈新
cunwyl	巡回醫療		巡迴醫療
cutmwc	出謀划策		出謀劃策
dakjig	特征		特徵
diupdt	調頻電台		調頻電臺
diuytl	釣魚台列島		釣魚臺列島
fanlsj	泛濫成災		氾濫成災
fauydm	浮游動物		浮遊動物
fauyjm	浮游植物		浮遊植物
fauysm	浮游生物		浮遊生物
feinbh	非你不可		非妳不可
feinms	非你莫屬		非妳莫屬
fohjig	課征		課徵
fugfdc	豐富多采		豐富多採
gaiwgj	計划經濟		計劃經濟
ganyll	奸淫擄掠		姦淫擄掠
genslt	近水樓台		近水樓臺
gumyjy	禁欲主義		禁慾主義
gwobdt	廣播電台		廣播電臺
hablt	下不了臺		下不了台
haklml	克裡姆林宮		克里姆林宮
hautlb	後台老板		後臺老板
hoijig	開征		開徵
hoisbg	開誠布公		開誠佈公
hugso	凶殺案		兇殺案
hugsos	凶神惡煞		兇神惡煞
jaijs	制造商		製造商
jaijy	制造業		製造業
jaisb	制成品		製成品
jieswl	祇是為了		只是為了
jietkj	債台高築		債臺高築
jigbig	征兵		徵兵
jigdak	征得		徵得
jigdei	征地		徵地
jigdiu	征調		徵調
jigfun	征婚		徵婚
jiggou	征稿		徵稿
jigjap	征集		徵集
jigjeu	征象		徵象
jigkau	征求		徵求
jigman	征文		徵文
jigmou	征募		徵募
jigpig	征聘		徵聘
jigsau	征收		徵收
jigshu	征詢		徵詢
jigshu	征信		徵信
jigsiu	征兆		徵兆
jigsui	征稅		徵稅
jigyan	征人		徵人
jigyau	征友		徵友
jigyug	征用		徵用
jimsf	占上風		佔上風
jizgjy	自覺自愿		自覺自願
jokgff	作奸犯科		作姦犯科
jugtyj	中台醫專		中臺醫專
keujig	強征		強徵
kughgo	窮凶極惡		窮兇極惡
kwojmt	國際舞台		國際舞臺
leibla	利比里亞		利比裡亞
likjsy	力爭上游		力爭上遊
linthh	連台好戲		連臺好戲
luiyg	旅游局		旅遊局
maksln	墨索里尼		墨索裡尼
migjjd	命中注定		命中註定
minjig	免征		免徵
mollk	無梁樓蓋		無樑樓蓋
mosdt	無線電台		無線電臺
moyym	無業游民		無業遊民
namtgj	南台工專		南臺工專
sehwkh	社會關系		社會關係
shelbj	上梁不正		上樑不正
sigjig	誠征		誠徵
siglkb	星羅棋布		星羅棋佈
sikybj	食欲不振		食慾不振
suisbt	水泄不通		水洩不通
tamgwl	貪官污吏		貪官汙吏
tigtlg	亭台樓閣		亭臺樓閣
toibs	台北市		臺北市
toibsl	台北市立		臺北市立
toidyy	台大醫院		臺大醫院
toihlo	台海兩岸		臺海兩岸
toipkm	台澎金馬		臺澎金馬
toiwas	台灣藝術		臺灣藝術
toiwdg	台灣當局		臺灣當局
toiwdh	台灣大學		臺灣大學
toiwdl	台灣電力		臺灣電力
toiwhh	台灣海峽		臺灣海峽
toiwsl	台灣省立		臺灣省立
toiwtb	台灣同胞		臺灣同胞
toiwuh	台灣銀行		臺灣銀行
tuglhw	同流合污		同流合汙
wagjbl	橫征暴斂		橫徵暴斂
wuikfj	回光返照		迴光返照
wulwt	胡里胡塗		胡裡胡塗
wuslg	烏蘇里江		烏蘇裡江
yaubkc	游標卡尺		遊標卡尺
yaummj	游牧民族		遊牧民族
yauyyy	游刃有餘		遊刃有餘
yigjig	應征		應徵
yizcwy	二次污染		二次汙染
yueyyl	餘音繞梁		餘音繞樑
