biho 多何
bqoh  用任何
cavha  曾幾何時
cuoh  說任何
eekh  沒奈何
eqoh  對任何
gnoh  到任何
gthhd  喜從何來
hboh  向任何
hcoh  與任何
hgzrkh 徒呼奈何
hgzrkh 徒喚奈何
hoahd  何時何地
hoaq 何時
hoayw  何時是了
hob  何月
hobha  何月何日
hobq 何用
hoca 何曾
hodt 何來
hoef  何鴻燊
hoeto  何況其他
hoeu 何況
hoey  何況是
hofa 何嘗
hogi 何去
hogo  何超儀
hogoh  何去何從
hogt  何嘉莉
hogv 何堪
hogy 何地
hohg 何種
hohoi  何德何能
hohq 何等
hoib 何能
hoif 何為
hoii 何我
hoip 何憑
hois 何成
hoja 何者
hojk 何故
hojl 何事
hokg 何在
hoknk  何奇不有
holb 何背
holoy  何患無詞
holp 何患
homc  何厚鏵
homj 何干
homo  何一個
homs  何至於
homsz  何至於此
hono 何隊
honq 何解
honz 何不
hoo  何人
hoog 何坐
hooha  何年何日
hoohb  何年何月
hooi 何愛
hook 何使
hoom 何低
hooo 何飲
hooq 何年
hoos 何作
hoot 何短
hoov  何仙姑
hoov 何依
hoov 何食
hopd  何世柱
hopfl  何必當初
hoph 何必
hopvz  何必如此
hoqn 何打
hoqw 何看
horc 何只
horjh  何足輕重
horqz  何足掛齒
horu 何吃
horz 何足
hotdj  何苦來哉
hotr 何苦
hotzk  何難之有
houu 何出
houzy  何出此言
hovhy  何以自處
hovmn  何樂而不為
hovni  何樂不為
hovo 何以
hovr 何如
hovs 何妨
hovwa  何以見得
howw 何國
howy 何罪
hoxz 何經
hoyb 何謂
hoyis  何方神聖
hoyn 何處
hoyop  何許人也
hoys 何方
hoyw  何文田
hoyy  何韻詩
hozq 何達
hozy 何這
hozz 何止
hvom 很何
hzbhhy 歸往何處
iaphk  良心何在
ifhk  為何在
ifhn  為何不
ifho  為何會
ifho 為何
ifoh  為任何
imoh  或任何
ishbx  成何體統
joho 做何
jooh  做任何
kbhmb  有何面目
kbhnn  有何不可
kbho 有何
kbhqj  有何指教
kboh  有任何
kghy  在何處
kgoh  在任何
kho  大何
kiho 太何
kmfh 奈何
loho  中任何
miemvh 球面幾何
miemvh 球面幾何學
mihhhy 魂歸何處
mjhhj  干卿何事
mkmhk  天理何在
mlhoe 更何況
mlkhha 更待何時
mvvh  要如何
myoh  下任何
ncho 小何
neoh  及任何
nkhn   不知何解
nkhp  又何必
nkih   不知為何
nkvh   不知如何
nkvh  又如何
nqdvh  解析幾何
nyho   不論如何
oamvh 但如何
oavh  會如何
oboh  內任何
ogvh   人壽幾何
ohgh 任何
ohghaa 任何問題
ohghao 任何時候
ohghj 任何事
ohghka 任何力量
ohghml 任何理由
ohghmm 任何形式
ohghmo 任何一個
ohghmy 任何一方
ohgho 任何人
ohghoj 任何人士如
ohghqo 任何責任
ohghs 任何的
ohghyw 任何意見
ohghzy 任何建議
okhy   人在何方
okhy   人在何處
osho 作何
osoh  作任何
otho 無何
otnkh  無可奈何
otnvh  無可如何
otoh  無任何
otyho  無論如何
pbhhy  情歸何處
pbhvg  情何以堪
pjmvh  平面幾何
ppoh  比任何
qqho 奉何
slnvh  那又如何
soho  的任何
taknkh 莫可奈何
tmcoh 其任何
trho 若何
uuoh  出任何
viho 幾何
vihpgl 幾何平均數
vihwm  幾何圖形
vooh  以任何
vqoh  將任何
vrh   如何
vrhb  如何用
vrheo  如何對付
vrhg  如何去
vrhj  如何做
vrhk  如何在
vrhqh  如何推行
vrhv  如何將
vrhy  如何讓
vrhyv  如何是好
vrzkh  如之奈何
wkho 因何
wkoh  因任何
yffh 談何
yffhja 談何容易
yfoh  就任何
yhsp   是何居心
yhzm   是何道理
ymho 上何
ymoh  上任何
yoho  是任何
ypmvh  意下如何
ytbvh  立體幾何
yuphs  於心何忍
yvho  是如何
ywho 謂何
yyofhw 該判何罪
yyofhw 該當何罪
yyovh 該如何
zoho  之任何
zqoh  過任何
beoh 受任何
vrho  如何
yuoh  於任何
