a      日
aa     間
ab     明
ac     題
ad     得
ae     最
af     景
ag     量
ah     阿
ai     埃
aj     早
ak     握
al     即
am     星
an     門
ao     閃
ap     鴨
aq     時
ar     問
as     聞
at     開
au     歐
av     晨
aw     冒
ax     Ａ
ay     晦
az     曰
b      月
ba     把
bb     朋
bc     具
bd     爭
be     被
bf     然
bg     雞
bh     財
bi     多
bj     軍
bk     敗
bl     腳
bm     且
bn     則
bo     部
bp     懇
bq     用
br     同
bs     助
bt     體
bu     目
bv     妥
bw     腦
bx     Ｂ
by     丹
bz     貶
c      金
ca     曾
cb     銷
cc     貧
cd     業
ce     錄
cf     鍊
cg     鐵
ch     分
ci     公
cj     針
ck     父
cl     卻
cm     翁
cn     剃
co     八
cp     慾
cq     鍵
cr     谷
cs     鈣
ct     盆
cu     鋼
cv     銀
cw     鈾
cx     Ｃ
cy     鈞
cz     錠
d      木
da     打
db     構
dc     橫
dd     林
de     地
df     標
dg     權
dh     才
di     機
dj     末
dk     校
dl     束
dm     本
dn     刺
do     到
dp     想
dq     村
dr     格
ds     榜
dt     來
du     概
dv     根
dw     東
dx     Ｄ
dy     梅
dz     整
e      水
ea     潛
eb     清
ec     演
ed     深
ee     沒
ef     源
eg     注
eh     湯
ei     法
ej     準
ek     決
el     濟
em     江
en     灣
eo     漢
ep     混
eq     洋
er     活
es     匯
et     溫
eu     流
ev     派
ew     海
ex     Ｅ
ey     海
ez     泛
f      火
fa     花
fb     常
fc     類
fd     米
fe     飛
ff     黨
fg     煙
fh     少
fi     螢
fj     輝
fk     尖
fl     鄰
fm     粗
fn     判
fo     科
fp     熄
fq     半
fr     尚
fs     勞
ft     粒
fu     夫
fv     裳
fw     當
fx     Ｆ
fy     料
fz     蹩
g      土
ga     加
gb     幫
gc     賣
gd     未
ge     基
gf     熱
gg     堆
gh     場
gi     去
gj     聲
gk     赦
gl     坤
gm     均
gn     坑
go     告
gp     志
gq     封
gr     喜
gs     城
gt     壹
gu     故
gv     越
gw     墻
gx     Ｇ
gy     卦
gz     走
h      ，
ha     下
hb     稱
hc     興
hd     禾
he     起
hf     秋
hg     重
hh     第
hi     風
hj     千
hk     香港
hl     所
hm     生
hn     利
ho     好
hp     物
hq     等
hr     各
hs     動
ht     升
hu     先
hv     很
hw     自
hx     Ｈ
hy     冬
hz     從
i      我
ia     昶
ib     席
ic     廣
id     求
ie     度
if     為
ig     社
ih     參
ii     麼
ij     庫
ik     救
il     神
im     或
in     現
io     次
ip     感
iq     府
ir     台
is     成
it     禮
iu     視
iv     威
iw     福
ix     Ｉ
iy     靡
iz     戈
j      十
ja     者
jb     輪
jc     真
jd     字
je     支
jf     寫
jg     室
jh     穿
ji     資
jj     車
jk     教
jl     都
jm     空
jn     事
jo     做
jp     它
jq     守
jr     古
js     考
jt     卉
ju     七
jv     裁
jw     富
jx     Ｊ
jy     寒
jz     定
k      大
ka     家
kb     有
kc     賀
kd     存
ke     奇
kf     灰
kg     在
kh     疹
ki     太
kj     癖
kk     疾
kl     郁
km     左
kn     九龍
ko     高
kp     癮
kq     奪
kr     右
ks     力
kt     猛
ku     顧
kv     狠
kw     獨
kx     Ｋ
ky     疼
kz     症
l      中
la     啦
lb     背
lc     貴
ld     蝶
le     裡
lf     螞
lg     蛙
lh     初
li     李
lj     牌
lk     史
ll     串
lm     畫
ln     鬥
lo     老
lp     北
lq     聿
lr     裕
ls     螃
lt     盡
lu     袍
lv     帳
lw     由
lx     Ｌ
ly     非
lz     片
m      一
ma     嗎
mb     再
mc     頭
md     厚
me     美
mf     原
mg     王
mh     形
mi     雲
mj     干
mk     天
ml     而
mm     二
mn     列
mo     毛
mp     死
mq     耐
mr     可
ms     功
mt     弄
mu     電
mv     要
mw     西
mx     Ｍ
my     下
mz     正
n      不
na     那
nb     角
nc     小
nd     子
ne     及
nf     魚
ng     五
nh     陽
ni     強
nj     陣
nk     又
nl     引
nm     隆
nn     予
no     怒
np     急
nq     解
nr     名
ns     務
nt     新界
nu     色
nv     張
nw     陳
nx     Ｎ
ny     外
nz     弓
o      人
oa     會
ob     內
oc     領
od     條
oe     雙
of     無
og     全
oh     奧
oi     愛
oj     什
ok     使
ol     命
om     但
on     安
oo     入
op     化
oq     年
or     柯
os     作
ot     位
ou     仙
ov     食
ow     個
ox     Ｏ
oy     每
oz     企
p      心
pa     怕
pb     情
pc     電腦
pd     悸
pe     皮
pf     恢
pg     懂
ph     必
pi     勾
pj     悼
pk     快
pl     邨
pm     性
pn     愉
po     報
pp     比
pq     憐
pr     句
ps     愣
pt     世
pu     包
pv     忙
pw     惱
px     Ｐ
py     悔
pz     疑
q      手
qa     春
qb     青
qc     責
qd     探
qe     投
qf     素
qg     推
qh     揚
qi     找
qj     揮
qk     拔
ql     折
qm     控
qn     抗
qo     失
qp     慧
qq     拜
qr     招
qs     拒
qt     拉
qu     規
qv     表
qw     看
qx     Ｑ
qy     排
qz     提
r      口
ra     吧
rb     嘴
rc     只
rd     味
re     吸
rf     鳴
rg     雖
rh     呀
ri     戰
rj     單
rk     哭
rl     叫
rm     咁
rn     別
ro     吹
rp     民
rq     吋
rr     路
rs     另
rt     啦
ru     兄
rv     跟
rw     哂
rx     Ｒ
ry     啡
rz     足
s      的
sa     沙
sb     騙
sc     匹
sd     碟
se     取
sf     馬
sg     確
sh     刀
si     師
sj     耳
sk     改
sl     耶
sm     刁
sn     刷
so     蘇
sp     聽
sq     尋
sr     區
ss     巨
st     聯
su     已
sv     長
sw     醫
sx     Ｓ
sy     匪
sz     尸
t      。
ta     他
tb     期
tc     共
td     某
te     叢
tf     驚
tg     難
th     剪
ti     義
tj     華
tk     英
tl     斯
tm     差
tn     前
to     圖
tp     恭
tq     對
tr     若
ts     芳
tt     并
tu     觀
tv     甚
tw     首
tx     Ｔ
ty     菲
tz     芝
u      山
ua     「
ub     」
uc     （
ud     ）
ue     『
uf     』
ug     《
uh     》
ui     【
uj     】
uk     屋
ul     ！
um     －
un     凱
uo     “
up     ”
uq     ？
ur     岩
us     ；
ut     豐
uu     出
uv     幽
uw     ﹏
ux     Ｕ
uy     ：
uz     兒
v      女
va     婚
vb     婦
vc     嫌
vd     樂
ve     奴
vf     媽
vg     壯
vh     妙
vi     幾
vj     妹
vk     收
vl     斷
vm     姓
vn     彎
vo     以
vp     戀
vq     將
vr     如
vs     幼
vt     妍
vu     妃
vv     裝
vw     牆
vx     Ｖ
vy     她
vz     婕
w      了
wa     話
wb     胃
wc     四
wd     果
we     我們
wf     黑
wg     里
wh     盼
wi     母
wj     畢
wk     因
wl     瞓
wm     置
wn     野
wo     和
wp     思
wq     團
wr     回
ws     男
wt     曲
wu     胡
wv     眼
ww     國
wx     Ｗ
wy     點
wz     田
x      、
xa     織
xb     編
xc     續
xd     綵
xe     級
xf     絲
xg     維
xh     紛
xi     約
xj     絨
xk     變
xl     鄉
xm     紅
xn     彎
xo     緣
xp     總
xq     紂
xr     結
xs     紡
xt     縊
xu     統
xv     網
xw     細
xx     Ｘ
xy     終
xz     縱
y      是
ya     也
yb     請
yc     六
yd     課
ye     夜
yf     京
yg     主
yh     彥
yi     議
yj     計
yk     文
yl     新
ym     上
yn     處
yo     你
yp     意
yq     討
yr     言
ys     方
yt     立
yu     於
yv     亡
yw     畜
yx     Ｙ
yy     卡
yz     卜
z      之
za     迫
zb     過
zc     選
zd     速
ze     返
zf     紫
zg     進
zh     步
zi     歲
zj     運
zk     送
zl     近
zm     些
zn     迄
zo     逐
zp     此
zq     導
zr     追
zs     邊
zt     逗
zu     道
zv     還
zw     道
zx     Ｚ
zy     這
zz     止
