似夢迷離 林子祥	chimml   lamcc

作詞：潘偉源	jokcee ： poo wai yun
作曲：林子祥	jokkuk ： lamcc

情癡總有缺憾	chgci jugyau kuthum
情深總要別離	chgsum jugyiu bitlei
天意愛弄人	tinyi oi lugyan
誰人可退避	suiyan hor tuibei
時光幾次錯漏	seekog geichi cohlau
人海幾次傳奇	yanhoi geichi cueki
聚了又分 愛情似夢迷離	juiliu yaufun   oichg chimml
如果可以抉擇	yueghy kutjak
能否一切暫停	nagfau yetcit jamtig
將我這份情	jeongo jefen chg
來重新鑒定	loi jugsun gamdig
誰迫使我冷漠	sui bikshi ngolag mok
誰勾起我共鳴	sui auhei ngo gugmig
沒法望清這時這份濃情	mutfat moncig jesee jefen nugchg
面對去或留徬徨怎決定	mindui huiwl ponwon jumkd
為何熱戀不應該愛慕的你	waiho yitlue betyg oimou diknei
曾也盡努力	tsaya jun noulik
求共你一起	kau gugnei yethei
無奈這風雨難逃避	monoi je fugyuu nantou bei
流乾所有眼淚	laugon soryau anlui
求演一剎傳奇	kauyin yetsat cueki
在歲月中愛情繼續流離	joi suiyut jug oichg gaijuk laulei
面對去或留徬徨怎決定	mindui huiwl ponwon jumkd
為何熱戀不應該愛慕的你	waiho yitlue betyg oimou diknei
曾也盡努力	tsaya jun noulik
求共你一起	kau gugnei yethei
無奈這風雨難逃避	monoi je fugyuu nantou bei
如果可以抉擇	yueghy kutjak
能否一切暫停	nagfau yetcit jamtig
將我這份情	jeongo jefen chg
來重新鑒定	loi jugsun gamdig
誰迫使我冷漠	sui bikshi ngolag mok
誰勾起我共鳴	sui auhei ngo gugmig
沒法望清這時這份濃情	mutfat moncig jesee jefen nugchg
是甜是苦 愛情似夢迷離	siztim sizfu   oichg chimml
