長恨歌	chehg
朝代：唐代	jiudoi ： tondoi

作者：白居易	jokjeh ： bakgy

原文：	yunman ：

漢皇重色思傾國，御宇多年求不得。	honwon jugsik si kigkwo ， yuzyuu dornin kau betdak 。
楊家有女初長成，養在深閨人未識。	yeuka yaunui cor cheshg ， yeujoi sumgwa yan meisik 。
天生麗質難自棄，一朝選在君王側。	tinslj nan jizhei ， yetjiu suejoi kwawon jak 。
回眸一笑百媚生，六宮粉黛無顏色。	wuimau yetsbm sag ， lukgug fendoi mo ansik 。
春寒賜浴華清池，溫泉水滑洗凝脂。	cunhon chiyuk wahcc ， wencue suiwat sai yigji 。
侍兒扶起嬌無力，始是新承恩澤時。	sizyee fuuhei giu molik ， ci siz sunsig yenjak see 。
雲鬢花顏金步搖，芙蓉帳暖度春宵。	wanben faan kam bouyiu ， fuuyug jeunue dou cunsiu 。
春宵苦短日高起，從此君王不早朝。	cunsiu fudue yatko hei ， cugci kwawon bet jojiu 。
承歡侍宴無閒暇，春從春遊夜專夜。	sigfoo sizyin mo hanhah ， cuncug cunyau yejue ye 。
後宮佳麗三千人，三千寵愛在一身。	haugug gilai samcy ， samcin cugoi joi yetsun 。
金屋妝成嬌侍夜，玉樓宴罷醉和春。	kamuk jogshg giu siz ye ， yuklau yinbah jui wocun 。
姊妹弟兄皆列土，可憐光彩生門戶。	jiemui daihig gi litto ， horlin kogcoi sag munwuu 。
遂令天下父母心，不重生男重生女。	suilig tinha fuumou sum ， betjug sagnam jugsag nui 。
驪宮高處入青雲，仙樂風飄處處聞。	leigug kocu yup tsiwan ， sinlfp 。
緩歌慢舞凝絲竹，盡日君王看不足。	woogor man mou yig sijuk ， junyat kwawon hon betjuk 。
漁陽鼙鼓動地來，驚破霓裳羽衣曲。	yueyeu peiguu dugdei loi ， gigpoh aishe yuuyi kuk 。
九重城闕煙塵生，千乘萬騎西南行。	gaujug sigkut yincan sag ， cinsmk sainam hag 。
翠華搖搖行復止，西出都門百餘里。	cuiwah yiuyiu hag fuk jie ， sai cut do mun bakyue lei 。
六軍不發無奈何，宛轉蛾眉馬前死。	luk kwa betfat monoi ho ， yuejue ngo mei macin sei 。
花鈿委地無人收，翠翹金雀玉搔頭。	fa tin wai dei moyan sau ， cui kiu kamjek yuk sotau 。
君王掩面救不得，回看血淚相和流。	kwawon yimmin gaubet dak ， wuihon hutlui seo wo lau 。
黃埃散漫風蕭索，雲棧縈紆登劍閣。	wonai sanman fug siu sok ， wan jan yigyu dag gimgok 。
峨嵋山下少人行，旌旗無光日色薄。	ngomei sanha siu yanhag ， jig kei mokog yat sik bok 。
蜀江水碧蜀山青，聖主朝朝暮暮情。	suk gogsui bik suksan tsi ， sigju jiujmm chg 。
行宮見月傷心色，夜雨聞鈴腸斷聲。	haggug gin yut seosum sik ， ye yuu men lig ceudue sig 。
天旋地轉回龍馭，到此躊躇不能去。	tinsdj wui lug yuz ， douci cauchu betnag hui 。
馬嵬坡下泥土中，不見玉顏空死處。	ma 嵬 bor ha naito jug ， betgin yuk an hug sei cu 。
君臣相顧盡沾衣，東望都門信馬歸。	kwa sen seo guu jun jim yi ， dug mondo mun shu ma gwa 。
歸來池苑皆依舊，太液芙蓉未央柳。	gwaloi cee yue gi yigau ， tiyik fuuyug meiyeo lau 。
芙蓉如面柳如眉，對此如何不淚垂。	fuuyug yue min lau yue mei ， duici yueho bet lui sui 。
春風桃李花開日，秋雨梧桐葉落時。	cunfug toulee fahoi yat ， cauyuu ngtug ip lok see 。
西宮南內多秋草，落葉滿階紅不掃。	sai gug nam noi dor cau co ， lokip moo gi hug bet sou 。
梨園弟子白髮新，椒房阿監青娥老。	leiyun daichi bakfat sun ， jiu fon ah gam tsi ngo lou 。
夕殿螢飛思悄然，孤燈挑盡未成眠。	jik din yig feisi ciuyin ， gudag tiu jun mei shgmin 。
遲遲鐘鼓初長夜，耿耿星河欲曙天。	ceecee jugguu cor cheye ， gaggag sighoh yuk cuu tin 。
鴛鴦瓦冷霜華重，翡翠衾寒誰與共。	yueyeo nga lag seo wah jug ， feicui kum hon sui yugug 。
悠悠生死別經年，魂魄不曾來入夢。	yauyau sagsei bit gignin ， wenpak bettsa loiyup mug 。
臨邛道士鴻都客，能以精誠致魂魄。	lum 邛 dousiz hug do hak ， nagyie jigsig jee wenpak 。
爲感君王輾轉思，遂教方士殷勤覓。	爲 gum kwawon jinjue si ， sui gao fog siz yenkan mik 。
排空馭氣奔如電，昇天入地求之遍。	piehug yuz hei ben yue din ， sig tin yupdei kau ji pin 。
上窮碧落下黃泉，兩處茫茫皆不見。	shekbl hawon cue ， leu cu monmon gibet gin 。
忽聞海上有仙山，山在虛無縹渺間。	fetmen hoishe yau sin san ， san joi huimpm gan 。
樓閣玲瓏五雲起，其中綽約多仙子。	laugok liglug ngwan hei ， keijug cek yek dor sinchi 。
中有一人字太真，雪膚花貌參差是。	jug yau yetyan jiz tijen ， sut fu famao camca siz 。
金闕西廂叩玉扃，轉教小玉報雙成。	kam kut sai seo kau yuk 扃 ， jue gao siuyuk bou seo shg 。
聞道漢家天子使，九華帳裏夢魂驚。	mendou honka tinchi shi ， gauwah jeu lui mug wen gig 。
攬衣推枕起徘徊，珠箔銀屏迤邐開。	lam yi tui jum hei puiwui ， ju bok unpig yee 邐 hoi 。
雲鬢半偏新睡覺，花冠不整下堂來。	wanben boo pin sun suigok ， fagoo bet jig ha ton loi 。
風吹仙袂飄飄舉，猶似霓裳羽衣舞。	fugcui sin mai piupiu gui ， yauchi aishe yuuyi mou 。
玉容寂寞淚闌干，梨花一枝春帶雨。	yukyug jikmok lui langon ， leifa yetji cun die yuu 。
含情凝睇謝君王，一別音容兩渺茫。	humchg yigtai tse kwawon ， yetbit yum yug leu miumon 。
昭陽殿裏恩愛絕，蓬萊宮中日月長。	ciu yeu din lui yenoi jut ， pugloi gugjug yatyut che 。
回頭下望人寰處，不見長安見塵霧。	wuitau ha mon yanwan cu ， betgin cheon gin canmou 。
惟將舊物表深情，鈿合金釵寄將去。	wai jeo gaumet biu sumchg ， tin hapkam cie gei jeohui 。
釵留一股合一扇，釵擘黃金合分鈿。	cie lau yetgu hapyet sin ， cie mak wonkam hap fun tin 。
但教心似金鈿堅，天上人間會相見。	dan gao sumchi kam tin gin ， tinshe yangan wui seogin 。
臨別殷勤重寄詞，詞中有誓兩心知。	lumbit yenkan juggei cee ， cee jug yau sai leu sum ji 。
七月七日長生殿，夜半無人私語時。	cetyut cetyat chesag din ， yeboo moyan siyu see 。
在天願作比翼鳥，在地願爲連理枝。	joitin yue jok beiyik niu ， joidei yue 爲 linlei ji 。
天長地久有時盡，此恨綿綿無絕期。	tincdg yausee jun ， ci hen minmin mo jut kei 。
