的	41998276		全		50	360356349	35.73
一	18885826		1008478756		100	480820032	47.68
了	18830297				150	556275007	55.16
是	17124601				200	610642613	60.55
不	16061021				250	653875497	64.84
我	11432229				300	689723385	68.39
这	10375434				350	719915531	71.39
在	9995459				400	745346636	73.91
人	9691804				450	767657797	76.12
有	9485278				500	787724232	78.11
他	8712852				550	805426255	79.87
来	8028253				600	821136535	81.42
个	7704173				650	835299807	82.83
道	7640823				700	847938250	84.08
你	6725824				750	859542288	85.23
大	6453264				800	870070774	86.28
到	6188601				850	879860777	87.25
着	6180499				900	888921673	88.14
就	6098413				950	897045890	88.95
上	6075014				1000	904480977	89.69
们	5929463				1050	911395959	90.37
那	5439878				1100	917913026	91.02
也	5375648				1150	923970528	91.62
说	5285388				1200	929645823	92.18
么	5185205				1250	934992798	92.71
下	4963573				1300	939997491	93.21
出	4944278				1350	944605330	93.67
然	4853339				1400	948925641	94.09
地	4832922				1450	952933202	94.49
中	4442351				1500	956628532	94.86
看	4245105				1600	963310724	95.52
时	4165793				1700	969141135	96.10
要	4111242				1800	974138260	96.59
没	4091118				1900	978491529	97.03
天	4059777				2000	982289708	97.40
过	4018983				2100	985614489	97.73
可	4011721				2200	988532364	98.02
自	3972086				2300	991103552	98.28
子	3897470				2400	993355051	98.50
能	3676287				2500	995340593	98.70
还	3629836				2600	997084013	98.87
之	3605587				2700	998582402	99.02
以	3553269				2800	999882553	99.15
去	3513311				2900	1001034645	99.26
后	3496977				3000	1002049559	99.36
好	3496608				3500	1005449754	99.70
为	3487584				4000	1007108065	99.86
都	3474386				4500	1007904739	99.94
会	3463816				5000	1008236875	99.98
里	3445407				5500	1008373540	99.99
心	3430720				6000	1008428452	100.00
得	3425839				6500	1008453361	100.00
对	3392873				7000	1008465248	100.00
身	3271103						
手	3170014						
起	3166082						
小	3130257						
想	3055580						
只	2946007						
而	2911230						
和	2883108						
头	2737864						
她	2612227						
无	2590637						
力	2575485						
己	2566453						
面	2560137						
如	2547635						
什	2459166						
现	2458143						
样	2393221						
多	2386362						
已	2353028						
知	2324654						
些	2297914						
经	2265971						
声	2261364						
前	2252217						
事	2228947						
神	2227480						
笑	2223910						
开	2192576						
点	2181899						
方	2044852						
眼	2038337						
发	2034138						
所	2012102						
但	1999409						
气	1982687						
法	1956811						
意	1949335						
情	1937007						
生	1921063						
两	1919498						
家	1912807						
间	1911842						
将	1876589						
很	1866626						
真	1815848						
话	1804629						
成	1795082						
被	1789635						
让	1788553						
老	1784935						
动	1775350						
当	1754673						
用	1717945						
于	1710461						
见	1699083						
回	1676691						
又	1660720						
军	1635700						
把	1628413						
此	1610597						
才	1597407						
几	1592562						
战	1557337						
正	1557335						
明	1540331						
却	1536172						
龙	1534169						
从	1534040						
十	1524942						
三	1523087						
长	1522486						
女	1508264						
光	1490668						
再	1466680						
向	1455599						
实	1448668						
最	1440732						
行	1425326						
高	1420688						
本	1416501						
打	1411437						
风	1405449						
定	1401652						
进	1394418						
魔	1363686						
给	1357375						
问	1326297						
国	1319763						
色	1318397						
同	1306244						
种	1300121						
走	1297851						
其	1296538						
年	1287898						
口	1282856						
怎	1264161						
王	1261760						
边	1261210						
次	1255638						
全	1252513						
白	1248932						
吧	1240963						
感	1220301						
儿	1219493						
果	1213321						
听	1206971						
啊	1200084						
死	1173148						
体	1172333						
外	1170221						
飞	1162846						
分	1162570						
觉	1143330						
主	1142419						
住	1132618						
少	1121753						
比	1113524						
空	1096713						
因	1087535						
门	1083537						
等	1068392						
直	1061685						
轻	1058836						
第	1053270						
候	1048031						
脸	1045451						
相	1038299						
何	1025163						
强	1023690						
张	1014694						
做	1002339						
快	1001302						
重	999901						
与	998878						
太	993136						
应	991706						
刚	978852						
接	971270						
位	968824						
量	962323						
便	958920						
难	957007						
更	956293						
名	950212						
二	948971						
连	946428						
内	946203						
水	946030						
西	937048						
马	925092						
黑	924607						
部	923989						
作	918786						
入	918386						
吗	916812						
兵	915380						
虽	911332						
击	911014						
师	910740						
别	907871						
放	903305						
完	898599						
四	896969						
灵	889151						
并	888589						
公	886585						
先	886333						
士	882866						
处	881568						
剑	872542						
算	865768						
东	863601						
机	856097						
城	851977						
火	850817						
微	850379						
变	847568						
叫	843477						
杀	840315						
带	839745						
清	839253						
队	833514						
斯	829563						
李	823318						
者	814618						
云	813050						
望	811417						
原	809887						
竟	808564						
像	797777						
安	792684						
惊	791940						
呢	790524						
山	790104						
族	789804						
海	787326						
星	785190						
月	782764						
特	777571						
目	776243						
金	775515						
加	774301						
跟	772111						
场	766649						
由	755720						
万	755298						
林	752017						
任	733819						
立	729322						
日	728844						
美	728648						
使	728477						
关	726888						
百	726255						
命	726071						
理	725666						
思	725396						
转	723848						
