https://www.tapatalk.com/groups/namyuekok/-t4186.html
香港政府拼法，粗體為聲母 例字
a（零聲母） 亞
au（零聲母） 歐坳
ap（零聲母） 鴨
ba 巴
bing 冰炳
bo 保寶波埔普佈怖
cha 茶
chan 陳親
chai 柴仔
chak 澤擇
chap 集插
chau 周秋
che 輋車
chek 赤
cheng 鄭
cheong 暢昌唱搶
cheuk 卓
cheung 張長象章彰蔣
chi 志誌
chik 直值植殖積織
ching 呈青靜程
chiu 趙朝昭超
cho 草曹楚
choi 彩蔡
chong 創莊
choy 蔡
chuen 川全
chui 徐翠趣除
chuk 竹築捉濁
chun 進春震振珍真圳晉俊
chung 中松沖重頌鍾鐘
dai 大
dung 登
eu 余
fa 花
fai 輝暉
fan 範范繁分粉反飯
fat 發佛罰
fau 阜
fei 飛非菲翡肥
fo 火貨
fong 方仿芳防舫訪房放晃
foo 富
foon 歡 寬
fook 福
fu 夫富虎傅芙
fui 灰
fuk 福
fung 鳳風豐馮峰鋒
ha 下霞夏
hoi 海
hak 黑
ham 鹹
hang 恆坑亨杏
hau 厚口侯喉
hay 熙
hee 羲
hei 喜熙戲希晞禧
heng 杏
heung 香享
hi 喜
hin 顯軒騫
hing 興慶卿兄
hip 協
hiu 曉
ho 豪何浩好酷皓
hoi 海開愷凱
hok 鶴學
hon 漢韓瀚
hong 康慷糠
hop 合盒
how 巧考
hui 許虛去
hung 洪紅虹熊鴻孔
ip（零聲母） 葉頁
jo 祖
ka 嘉加珈假價家稼嫁鎵
kai 啟佳溪
kam 金甘柑咁錦敢鑒監鑑
kap 甲
kat 吉桔
kau 舊九教
kei 奇其基琪淇琦
keng 徑
keung 強鏹
ki 奇其基琪淇琦
kik 擊
kim 兼
kin 健堅
king 景京敬競境勁
kit 潔傑傑
kiu 橋
ko 高
kok 角
kong 江
koo 古顧故辜
koon 觀
ku 古
kuk 谷
kung 功共
kwa 瓜
kwai 葵桂貴
kwan 關君珺軍
kwok 國郭
kwong 光廣鄺
kwu 古
kwun 觀冠官管
lai 拉癩賴籟瀨酹落禮澧醴鱧蠡劙黎藜犁黧來麗儷厲勵癘礪糲蠣荔例栵隸捩
lam 藍籃林琳霖淋臨
laam 嵐
lan 蘭
lap 立
lau 劉留
lee 李利莉
lei 梨鯉理
leng 靚嶺
leung 梁良涼兩
lin 連
li 李
ling 凌靈另令零伶玲拎齡
liu 廖尿料
lo 盧路露羅
lok 樂洛落
long 朗郎廊
luen 聯亂
lui 女呂旅裡累雷蕾類
luk 六陸鹿錄碌轆
lung 隆窿龍籠嚨隴朧矓
ma 馬媽麻
mak 墨麥默勿物
man 曼慢漫謾問聞閩憫萬民文汶玟炆抆雯敏
mei 美未味尾娓眉媚
ming 明冥鳴
mo 毛巫
mok 莫膜
mui 梅每
na 那娜
nam 南
ng（輔音母音化） 吳午忤五伍
nga 雅啞
ngai 毅藝蟻矮
ngan 銀顏
ngar 雅啞
ngau 牛
nin 年
nip 聶
o（零聲母） 奧澳
oi（零聲母） 愛哀
on（零聲母） 安按
pak 白北百柏
ping 平萍蘋坪
po 保寶波埔普佈怖
poon 盤潘
pong 龐旁蚌
pui 佩珮配倍培陪蓓
pun 盤潘
sai 西細洗
san 新
sang 生
sha 沙
shan 山珊姍
sheh 佘
sheung 常商
shi 施師獅時匙史屎屍試軾四思斯撕絲
shui 水睡瑞衰歲誰
shuk 叔淑熟粟屬宿縮
si 施師獅時匙史屎屍試軾四思斯撕絲
sin 先仙冼善
sing 升昇星醒聲
sit 薛
so 蘇騷甦掃素嫂
sui 水睡瑞衰歲誰
suk 叔淑熟粟屬宿縮
sum 心
sung 宋送鬆崇
sze 施師獅時匙史屎屍試軾四思斯撕絲詩
tai 大太戴
tang 鄧滕
tin 田天填
ting 亭婷停霆丁
tsz 止芷紫致字祠慈梓
tuen 團屯
tung 彤童董懂東棟凍同銅統桶痛
tze 止芷紫致字祠慈梓
wa 華
wah 華
wai 慧惠韋偉瑋為衛圍胃畏
wan 溫搵灣彎還環雲尹運
wang 宏弘橫
wing 穎永詠泳詠榮
wo 禾和窩禍蝸
wong 黃王汪枉
woo 胡烏
wu 胡湖糊狐壺烏戶惡
wun 奐煥換媛緩豌碗
yan 茵欣恩因仁忍人印殷
yau 丘邱優休遊游悠由油柚
yee 怡義議儀異宜而以姒意
yeung 楊陽揚煬瘍仰羊洋烊蛘樣養讓釀央泱殃鞅怏氧
yi 怡義議儀異宜而以姒意
yim 嚴鹽驗厭懨艷豔炎閻閆焰掩
yin 胭妍研賢寅演現然言燕讌嬿宴煙彥諺廷筳
ying 影形認瑩螢營英應
yip 葉頁
yiu 姚要擾謠遙搖瑤
yu 宇俞愉瑜如茹余餘魚乳
yuen 淵鳶冤宛蜿鵷眢鴛蜎苑宛婉惋琬畹菀怨元刓完岏沅芫黿丸汍紈芄原嫄源螈騵員圓隕袁園猿轅爰媛援湲蝯緣櫞蝝懸縣沿鉛堧壖玄圜洹遠薳軟阮耎蝡蠕泫鉉願願炫眩衒媛援瑗院縣遠掾眴繯
yung 雍擁翁用容溶鎔蓉
